,N.count,P.count,Missing,pvalue,2014_ZellerG-Median,2014_ZellerG-p-value,2015_FengQ-Median,2015_FengQ-p-value,2016_VogtmannE-Median,2016_VogtmannE-p-value,2019_Thom-Median,2019_Thom-p-value,2019_WirbelJ-Median,2019_WirbelJ-p-value,2019_Yachida-Median,2019_Yachida-p-value,2021_JunY_1-Median,2021_JunY_1-p-value,2021_JunY_2-Median,2021_JunY_2-p-value
Catenaria anguillulae,4,4,0,8,0.608840907,1.11E-138,-0.143046953,0.002429621,-0.083052881,0.020167002,0.470561557,7.89E-39,-0.591991445,8.04E-19,0.31147545,3.92E-189,-0.082012415,0.00827074,0.098473102,3.13E-07
Allomyces macrogynus,6,2,0,7,0.411510688,3.07E-59,-0.361428866,1.85E-31,-0.077363248,0.004574376,-0.03175065,0.287711964,-0.508789986,1.47E-24,0.304773825,1.04E-303,-0.14830555,6.84E-08,-0.149091797,2.08E-23
Paramicrosporidium saccamoebae,4,4,0,7,-0.243469803,2.55E-09,0.107326822,0.087204723,0.113490019,0.034589784,0.198729732,0.011630464,-0.207478437,0.020063338,0.150012608,4.00E-16,-0.55129921,1.08E-27,-0.427077835,7.77E-43
Rozella allomycis,5,3,0,6,-0.611435979,1.66E-112,-0.096116178,0.015882589,0.026536216,0.405140224,0.538044064,1.42E-16,-1.488887388,4.39E-88,0.014628834,0.160233044,-0.848021034,4.90E-134,-0.51057743,1.61E-157
Basidiobolus meristosporus,8,0,0,8,-0.157789148,1.55E-17,-0.22624777,4.53E-22,-0.282516303,1.42E-21,-0.276921946,1.45E-20,-0.828510308,1.76E-67,-0.045582531,1.10E-08,-0.268182284,3.62E-30,-0.387126596,9.37E-113
Conidiobolus coronatus,6,2,0,6,-0.520957272,3.57E-86,-0.051898148,0.063393841,-0.057979698,0.066046718,0.660189897,1.29E-63,-1.45542144,4.44E-108,0.273268944,4.30E-273,-0.444165933,2.83E-49,-0.301779586,9.72E-79
Gonapodya prolifera,5,3,0,8,-0.070333247,0.001747405,0.068296638,0.043089807,-0.177735533,2.38E-11,0.227004359,3.95E-17,-0.987829684,8.95E-64,0.348057784,0,-0.591994364,9.52E-90,-0.308864146,9.31E-73
Spizellomyces punctatus,6,2,0,8,-0.070532012,0.00519701,0.069888326,0.043018611,-0.607322751,5.16E-36,0.412986312,1.26E-18,-1.764710843,2.34E-87,-0.084805428,1.31E-11,-0.765028594,5.64E-116,-0.471318764,7.39E-78
Batrachochytrium salamandrivorans,8,0,0,7,-0.41986384,1.41E-85,-0.558827199,1.14E-54,-0.063455273,0.024669392,-0.019243912,0.606321874,-0.628440543,1.98E-32,-0.031869856,1.75E-05,-0.548681945,7.50E-94,-0.556221639,2.81E-244
Batrachochytrium dendrobatidis,4,4,0,8,-0.931998822,1.83E-51,0.395876227,8.47E-05,0.17582474,0.017236004,1.438441534,4.13E-27,-2.309612369,7.06E-23,0.450658567,4.04E-113,-0.558813283,1.21E-17,-0.177690422,1.64E-06
Rhizoclosmatium globosum,6,2,0,7,-0.44278538,1.43E-110,-0.484329588,1.69E-63,0.016959083,0.594788723,-0.205092998,1.01E-10,-0.721539606,3.09E-47,0.102698577,2.34E-50,-0.301834778,4.47E-36,-0.398806143,1.16E-160
Anaeromyces robustus,6,2,0,8,-0.810557842,4.93E-283,-0.228937473,1.59E-20,-0.168584643,6.02E-12,0.350606252,2.87E-25,-0.540418463,2.80E-25,0.124367724,1.22E-93,-0.45380144,2.14E-89,-0.354633194,9.81E-158
Piromyces sp. E2,7,1,0,7,-0.823236441,3.71E-231,-0.017782757,0.491170698,-0.327087633,5.88E-33,0.659139008,4.09E-81,-1.053185295,8.79E-86,-0.15269161,4.17E-125,-0.687746338,2.02E-141,-0.376006132,1.13E-130
Piromyces finnis,3,5,0,7,-0.685268336,1.87E-195,0.068521514,0.011164592,0.055626266,0.029852628,0.183767003,1.31E-06,-0.236512391,3.71E-05,0.157797856,7.39E-143,0.009656726,0.67369102,-0.198786026,2.45E-52
Neocallimastix californiae,6,2,0,8,-0.807092419,1.22E-265,-0.182297112,8.48E-11,-0.289090258,7.51E-35,0.276105109,7.47E-18,-0.575111225,6.99E-26,0.022826899,1.68E-05,-0.410375461,8.75E-66,-0.262374309,3.77E-97
Mortierella elongata,6,2,0,8,-0.248339588,2.02E-35,-0.208121768,3.81E-14,-0.338502582,4.38E-34,0.130570194,3.85E-05,-0.947299107,1.00E-62,0.220897632,3.29E-193,-0.130473908,2.59E-08,-0.224457598,1.46E-52
Mortierella verticillata,3,5,0,6,0.076300906,0.000170325,-0.052220778,0.118615542,-0.272732916,4.46E-19,0.165519601,3.67E-10,-0.062419279,0.152635483,0.054046537,3.03E-12,0.09602373,3.70E-17,0.195395708,2.77E-83
Rhizophagus irregularis,7,1,0,8,-0.968035601,0,-0.166501852,1.34E-10,-0.32923769,1.88E-42,0.302120962,2.25E-23,-1.497618467,1.76E-79,-0.308047104,0,-0.421962184,2.37E-71,-0.482524185,0
Rhizophagus clarus,6,2,0,8,-0.857401521,0,-0.385112966,8.35E-60,-0.151073346,7.15E-15,0.148244399,7.19E-07,-0.996127945,4.71E-92,0.078499785,1.42E-62,-0.765259614,1.21E-220,-0.430688394,2.06E-271
Bifiguratus adelaidae,6,2,0,8,-0.157503586,5.99E-07,-0.32964926,1.93E-12,-0.120595211,0.001121537,0.437972611,1.75E-17,-0.973619813,4.11E-31,0.236043832,9.58E-77,-0.247448321,3.87E-13,-0.490387325,1.28E-136
Syncephalastrum racemosum,6,2,0,7,-0.291216926,1.21E-42,0.271199767,7.36E-14,-0.48308386,8.61E-42,-0.007387006,0.829047556,-0.806343025,2.71E-47,0.166960565,4.18E-51,-0.397674086,3.14E-56,-0.70701508,0
Lichtheimia corymbifera,4,4,0,8,-0.277951842,8.86E-36,0.203817166,3.83E-10,0.076331155,0.018163276,0.324261309,4.06E-13,-0.349249313,1.56E-09,0.424193556,0,-0.034657911,0.000271669,-0.077995452,2.37E-10
Lichtheimia ramosa,7,1,0,8,-0.53161324,1.32E-107,0.261537693,9.31E-14,-0.082038513,0.005462042,-0.12009657,0.000515857,-1.259252304,6.36E-76,-0.022879839,0.000447407,-0.347381715,3.04E-39,-0.400615063,3.96E-173
Phycomyces blakesleeanus,6,2,0,8,-0.334039442,3.21E-76,-0.169786499,1.14E-12,-0.176382676,2.72E-09,0.462991153,8.19E-41,-0.6449763,2.20E-32,0.02936116,1.40E-05,-0.332017743,1.73E-47,-0.412148662,1.45E-183
Hesseltinella vesiculosa,3,5,0,8,0.257787193,8.12E-21,0.194776964,2.65E-06,0.173518532,1.50E-08,0.279713701,6.91E-09,-0.596359713,1.40E-21,0.150080057,1.08E-46,-0.277427721,5.35E-23,-0.312032459,1.55E-53
Absidia glauca,5,3,0,6,-0.32251116,7.14E-61,0.056188239,0.075853708,-0.44648311,6.64E-47,0.443697167,6.71E-35,-0.59918576,3.71E-23,0.004161268,0.596807407,-0.378685309,3.85E-46,-0.436664523,5.95E-137
Absidia repens,5,3,0,7,-0.397258214,1.49E-85,0.206264951,2.60E-13,-0.047015909,0.126032575,0.342384452,1.95E-35,-0.767035562,1.31E-44,0.160578116,8.20E-131,-0.469331697,3.58E-85,-0.333233415,1.33E-128
Choanephora cucurbitarum,5,3,0,8,-0.694543287,2.47E-197,0.172101191,3.97E-09,-0.257379815,1.41E-21,0.207453341,1.54E-07,-1.142724325,1.52E-88,0.156742015,7.22E-126,-0.685417716,1.50E-173,-0.393755431,1.24E-197
Mucor ambiguus,5,3,0,7,-0.355847226,9.38E-43,0.140715762,7.07E-05,0.032361102,0.376941176,-0.319610837,2.56E-18,-0.772745296,6.14E-38,0.141133629,1.79E-75,-0.258473557,3.67E-22,-0.341965816,4.04E-93
Mucor circinelloides,7,1,0,7,-0.359408738,6.54E-103,-0.024922389,0.304569241,-0.169081288,2.41E-15,-0.106726176,9.87E-06,-0.985886027,1.97E-93,0.117976775,6.45E-81,-0.610671154,3.30E-147,-0.384557108,1.37E-181
Rhizopus microsporus,5,3,0,7,-1.068985295,6.66E-46,0.146362142,0.083436081,-1.616597933,1.90E-18,0.886852106,8.47E-17,-0.53314455,0.000970863,0.055259781,0.000542026,-3.603400469,1.92E-143,-0.228240202,6.21E-09
Rhizopus delemar,5,3,0,6,-0.663419475,7.58E-186,0.311151119,1.37E-21,0.045627845,0.087486475,0.362164936,9.32E-28,-0.836002623,3.23E-57,-0.000682752,0.921078064,-0.744986268,1.83E-151,-0.449145172,1.12E-183
Trachipleistophora hominis,5,3,0,8,-0.469364966,2.18E-37,0.548072981,4.20E-15,-0.515142619,1.30E-31,0.617646136,7.47E-16,-0.330864792,0.005944243,0.097834724,9.08E-12,-0.730433106,2.99E-113,-0.071420841,0.000975744
Vavraia culicis,5,3,0,7,-0.887123565,5.35E-73,0.195581913,0.015150241,0.678748055,4.66E-22,-0.102556757,0.284996571,-3.771964526,1.40E-80,0.226222266,7.57E-22,-0.368049171,6.30E-14,-0.985821329,1.51E-141
Anncaliia algerae,4,4,0,7,-0.834072681,1.70E-208,-0.303838337,5.92E-21,0.13241872,0.000666997,1.050232741,6.08E-132,-0.663649377,5.59E-34,0.017526337,0.020247131,0.01195859,0.448513703,-0.053646014,7.53E-10
Amphiamblys sp. WSBS2006,3,5,0,7,0.287389622,1.30E-07,0.406737246,0.00014256,-0.10853396,0.050131178,2.657985933,1.73E-90,-2.524491756,3.39E-58,0.177119707,4.32E-15,-0.613840454,1.40E-27,0.341732935,1.76E-20
Ordospora colligata,8,0,0,7,-0.330712812,1.30E-06,-0.344379396,0.004160656,-0.453325419,3.83E-05,-0.290748666,0.009126572,-1.25521798,6.47E-20,-0.027073451,0.330894595,-1.97203542,1.80E-183,-0.144701751,0.000525266
Pseudoloma neurophilia,6,2,0,7,-0.634195271,8.56E-79,-0.777104567,1.46E-44,-0.499248032,6.30E-31,0.104362564,0.069664244,-1.288585659,3.04E-86,0.256339935,4.44E-73,-1.37276593,2.90E-290,-0.636927363,4.71E-152
Nematocida parisii,5,3,0,7,1.348569264,3.51E-21,-1.6835522,3.50E-09,4.720567411,6.42E-20,3.321928095,9.61E-13,-5.192791236,1.50E-23,-0.080328827,0.117346056,-3.633408761,3.02E-20,-0.922054949,4.22E-30
