"","Median","low-CI","high-CI","p-value"
"Catenaria anguillulae",-0.0830528814934403,-0.153446355609165,-0.0129944294511106,0.0201670024745428
"Allomyces macrogynus",-0.0773632478265264,-0.130501696268033,-0.0240808380023183,0.00457437553289343
"Paramicrosporidium saccamoebae",0.113490018516456,0.00825174966844472,0.218683231899015,0.0345897843740168
"Rozella allomycis",0.0265362164819772,-0.0364004756351239,0.0893362209525544,0.405140223798406
"Basidiobolus meristosporus",-0.28251630315942,-0.340728299110165,-0.224943433613841,1.42017170378841e-21
"Conidiobolus coronatus",-0.057979698235765,-0.119561774317732,0.00390753861748305,0.0660467180649496
"Gonapodya prolifera",-0.177735532769326,-0.22970864864035,-0.126002194040264,2.37900017926688e-11
"Spizellomyces punctatus",-0.607322751200754,-0.700124496755143,-0.514960154908764,5.16018338655818e-36
"Batrachochytrium salamandrivorans",-0.0634552725815554,-0.118359587415536,-0.00818206038743897,0.0246693915596686
"Batrachochytrium dendrobatidis",0.175824740158227,0.0342878559859714,0.314908213123801,0.0172360044308301
"Rhizoclosmatium globosum",0.0169590826409867,-0.0456232250532898,0.0786904823833717,0.594788723413358
"Anaeromyces robustus",-0.168584642533584,-0.215594833242376,-0.121349174959295,6.01722715354167e-12
"Piromyces sp. E2",-0.327087632882232,-0.379205271347475,-0.275023263907461,5.87987852118804e-33
"Piromyces finnis",0.055626266469951,0.00539012582063038,0.106483905059892,0.0298526279373068
"Neocallimastix californiae",-0.289090258066703,-0.332616351235835,-0.245096498804356,7.51299507507924e-35
"Mortierella elongata",-0.338502581664018,-0.393483185575873,-0.283870680808602,4.3781038237272e-34
"Mortierella verticillata",-0.272732916320116,-0.331594070057584,-0.213831559727303,4.46054191140517e-19
"Rhizophagus irregularis",-0.329237689668518,-0.375401894332254,-0.283323929167042,1.87909038540586e-42
"Rhizophagus clarus",-0.151073346108419,-0.188871060728077,-0.113388980160165,7.15325644798224e-15
"Bifiguratus adelaidae",-0.120595211225904,-0.194644296742174,-0.0476616926859655,0.00112153684046025
"Syncephalastrum racemosum",-0.483083860028585,-0.551411373817839,-0.414134515771087,8.61310397833208e-42
"Lichtheimia corymbifera",0.0763311549493091,0.0130369486005676,0.13962950619578,0.018163276437913
"Lichtheimia ramosa",-0.0820385127926005,-0.138594380080318,-0.0243922260912966,0.00546204247825978
"Phycomyces blakesleeanus",-0.176382676442555,-0.233828761130295,-0.118461857890092,2.72179984681692e-09
"Hesseltinella vesiculosa",0.173518532181913,0.113326581480255,0.233800478387715,1.49766462124512e-08
"Absidia glauca",-0.446483109667902,-0.509703753753266,-0.384122626264973,6.64052712089273e-47
"Absidia repens",-0.0470159087331191,-0.107120503413636,0.0132889489249404,0.126032574797138
"Choanephora cucurbitarum",-0.257379815067219,-0.31012849381108,-0.204426388247944,1.41497205407686e-21
"Mucor ambiguus",0.0323611021648807,-0.039128376698267,0.103901850601457,0.376941175710836
"Mucor circinelloides",-0.169081287560581,-0.211462385995547,-0.127112055932255,2.40745063022351e-15
"Rhizopus microsporus",-1.61659793337809,-2.26934035619146,-0.753408325749686,1.89564239386717e-18
"Rhizopus delemar",0.0456278447617264,-0.00650606699031263,0.0972042985079327,0.0874864745499219
"Trachipleistophora hominis",-0.515142618872532,-0.602030069990209,-0.429204783660947,1.29927427804884e-31
"Vavraia culicis",0.67874805452033,0.536559197715993,0.828752735515709,4.66057675041392e-22
"Anncaliia algerae",0.132418719702185,0.0565387179605051,0.208384670942922,0.000666997112374968
"Amphiamblys sp. WSBS2006",-0.108533959735489,-0.218806069590391,3.3943754627887e-05,0.0501311775776575
"Ordospora colligata",-0.453325418927602,-0.671869436035926,-0.232029125996699,3.83054028057163e-05
"Pseudoloma neurophilia",-0.499248032260859,-0.584426713758993,-0.414692699921397,6.3049073556366e-31
"Nematocida parisii",4.72056741116496,4.72043883087077,4.72056432644265,6.41670452773483e-20
"Nematocida displodere",0.0137713584289299,-0.17632831516749,0.184182347590366,0.795667382286306
"Nematocida sp. 1",-0.223639989224091,-0.377619830358894,-0.071395671551244,0.00387160110087521
"Nematocida sp. ERTm5",-0.582534714456038,-0.799233686193852,-0.357081316234581,8.03789413020633e-08
"Edhazardia aedis",-0.117954290291367,-0.166258518679885,-0.0705802333752907,1.19268793734903e-06
