"","Median","low-CI","high-CI","p-value"
"Catenaria anguillulae",0.470561557410398,0.400930072154348,0.540671655143054,7.89447570415754e-39
"Allomyces macrogynus",-0.0317506498283934,-0.0908227118084695,0.0272142250601868,0.28771196394463
"Paramicrosporidium saccamoebae",0.198729732267219,0.0447159481289112,0.35216577025124,0.011630463839817
"Rozella allomycis",0.538044063780158,0.408998363197864,0.671241795181885,1.41679074250924e-16
"Basidiobolus meristosporus",-0.276921945688283,-0.334468211557266,-0.21932109268747,1.45093016369138e-20
"Conidiobolus coronatus",0.660189896538135,0.587286386443592,0.733221900880963,1.28894211287435e-63
"Gonapodya prolifera",0.22700435924531,0.173925047294345,0.280340449642767,3.95334745164468e-17
"Spizellomyces punctatus",0.412986311553234,0.323595167541796,0.50190627118436,1.2645285213683e-18
"Batrachochytrium salamandrivorans",-0.0192439123373569,-0.0935123698619978,0.0550739977413397,0.606321873502528
"Batrachochytrium dendrobatidis",1.43844153388474,1.09660089546615,1.91636653238969,4.13106280158336e-27
"Rhizoclosmatium globosum",-0.205092997883365,-0.266829962317699,-0.143701316264818,1.00787592000486e-10
"Anaeromyces robustus",0.350606252337072,0.284587207122163,0.417347932340144,2.87496294203612e-25
"Piromyces sp. E2",0.659139008098063,0.594305360811465,0.724410243460133,4.08703191936383e-81
"Piromyces finnis",0.183767003367137,0.108978284718834,0.258526456449999,1.3128548779267e-06
"Neocallimastix californiae",0.276105109433796,0.214321021103241,0.338342563601016,7.47144882129906e-18
"Mortierella elongata",0.130570194335868,0.0685279642911288,0.192879840441253,3.8516904731129e-05
"Mortierella verticillata",0.165519600742981,0.113395423545545,0.218440644706729,3.67112016688384e-10
"Rhizophagus irregularis",0.302120962420953,0.243347866390635,0.360836651041264,2.25376415419512e-23
"Rhizophagus clarus",0.148244399259015,0.0895623396608403,0.206723256552569,7.19224776921137e-07
"Bifiguratus adelaidae",0.437972611274341,0.3346145731944,0.544805727492748,1.75072300332265e-17
"Syncephalastrum racemosum",-0.00738700550019718,-0.0740749788754264,0.0590302933132806,0.829047555715683
"Lichtheimia corymbifera",0.32426130884248,0.238439902198595,0.408355586821928,4.06142025973568e-13
