"","Median","low-CI","high-CI","p-value"
"Catenaria anguillulae",0.0984731015224797,0.0608679298483449,0.136303222288001,3.12948545078333e-07
"Allomyces macrogynus",-0.149091796811431,-0.178478673672094,-0.119750982176686,2.08074292853444e-23
"Paramicrosporidium saccamoebae",-0.427077835307732,-0.487868651835185,-0.366064706198396,7.76751308124532e-43
"Rozella allomycis",-0.510577429607952,-0.547224326063374,-0.473857391691582,1.60702651644692e-157
"Basidiobolus meristosporus",-0.387126596284496,-0.420190957209753,-0.354001721321449,9.36772355387143e-113
"Conidiobolus coronatus",-0.301779586280212,-0.332685501578587,-0.270807591611159,9.71685013455081e-79
"Gonapodya prolifera",-0.308864146492263,-0.342466617261286,-0.275376457072962,9.30785137671334e-73
"Spizellomyces punctatus",-0.471318763536919,-0.519852631010764,-0.422789553493341,7.38737057389919e-78
"Batrachochytrium salamandrivorans",-0.556221639340006,-0.588078752690703,-0.524399517141395,2.80665208726076e-244
"Batrachochytrium dendrobatidis",-0.17769042232359,-0.252505747588258,-0.104183840753023,1.64294455969936e-06
"Rhizoclosmatium globosum",-0.398806143284205,-0.427105972609344,-0.370488640508191,1.16299583634138e-160
"Anaeromyces robustus",-0.354633193851777,-0.379910352497348,-0.329327364729004,9.80994950851669e-158
"Piromyces sp. E2",-0.376006131532282,-0.405620236529868,-0.346389481037252,1.13252366265065e-130
"Piromyces finnis",-0.198786026033473,-0.224364933772906,-0.173208666239546,2.44947317460216e-52
"Neocallimastix californiae",-0.262374309243956,-0.286588368169993,-0.238033337200765,3.76624157168516e-97
"Mortierella elongata",-0.22445759845043,-0.253033755206216,-0.19585325629275,1.45676138153865e-52
"Mortierella verticillata",0.195395707891107,0.175753811438234,0.215002383303319,2.7672414870266e-83
"Rhizophagus irregularis",-0.482524185145727,-0.504394128221942,-0.460685893726948,0
"Rhizophagus clarus",-0.430688394241681,-0.454172111024197,-0.407277372382643,2.05823246554113e-271
"Bifiguratus adelaidae",-0.490387324587314,-0.528519835666145,-0.452333355501497,1.27617306916361e-136
"Syncephalastrum racemosum",-0.707015079652715,-0.73822882314332,-0.675819892454344,0
"Lichtheimia corymbifera",-0.0779954520457439,-0.101950376715915,-0.0539326136037186,2.3712935506637e-10
"Lichtheimia ramosa",-0.400615063210281,-0.428006525250697,-0.373268987041328,3.96139074994489e-173
"Phycomyces blakesleeanus",-0.412148662339554,-0.439440001449516,-0.384813554970258,1.44655420573559e-183
"Hesseltinella vesiculosa",-0.312032459280091,-0.351450453846382,-0.272609103104634,1.55347664960005e-53
"Absidia glauca",-0.436664522925926,-0.470318409779223,-0.402977457010654,5.94676306569086e-137
"Absidia repens",-0.333233415228335,-0.360028791991196,-0.306488593510085,1.33241358824401e-128
"Choanephora cucurbitarum",-0.393755431454686,-0.418884085642909,-0.368626117548189,1.24236437684485e-197
"Mucor ambiguus",-0.341965816038566,-0.374329696172709,-0.309598604402306,4.04422290012471e-93
"Mucor circinelloides",-0.384557108443965,-0.41053374135667,-0.358663906074765,1.36576876830396e-181
"Rhizopus microsporus",-0.228240202009386,-0.336517393838331,-0.148949912118623,6.21200899456929e-09
"Rhizopus delemar",-0.449145172071714,-0.478523386242569,-0.419727745548472,1.12162055653768e-183
"Trachipleistophora hominis",-0.071420841294647,-0.11347321128467,-0.0290000493269315,0.000975743737751729
"Vavraia culicis",-0.985821328770657,-1.06222351366033,-0.91029058666155,1.51476768149949e-141
"Anncaliia algerae",-0.0536460135849483,-0.0706436967369758,-0.0366267323404519,7.52723620540752e-10
"Amphiamblys sp. WSBS2006",0.341732935453584,0.269163109213687,0.414303218546848,1.76341111826512e-20
"Ordospora colligata",-0.144701750874173,-0.22467489642369,-0.0622036077841357,0.000525265807899409
"Pseudoloma neurophilia",-0.63692736286915,-0.682822449779912,-0.591144873813178,4.7050064314925e-152
"Nematocida parisii",-0.922054948754296,-1.60010817259662,-0.834271503075656,4.22125081924662e-30
"Nematocida displodere",-1.45338266178743,-1.56502416126983,-1.3474726885971,7.23699114866851e-189
"Nematocida sp. 1",-1.32186568502853,-1.39935100451308,-1.24581213423712,1.34314953880433e-284
"Nematocida sp. ERTm5",-0.574527499513196,-0.649647409723266,-0.500909034295644,8.3912085833245e-53
"Edhazardia aedis",-0.548632240547803,-0.573140888575419,-0.524130962285507,0
"Spraguea lophii",-0.0955728990336989,-0.118558722168033,-0.0724611448190364,4.86100069730595e-16
"Encephalitozoon intestinalis",-1.10171849235284,-1.24953060624586,-0.960443828262116,1.30136224787648e-98
"Encephalitozoon cuniculi",-0.0167389482099107,-0.0819238607741947,0.0609315767230565,0.751282286185383
"Encephalitozoon hellem",-0.341951546262301,-0.468465341250479,-0.209553708824391,3.43801124485294e-10
"Encephalitozoon romaleae",-0.367773412579323,-0.456958127371357,-0.281251979656237,1.10902001553243e-14
"Vittaforma corneae",-0.280339563720622,-0.359933214107978,-0.201362731254507,5.57084566829331e-12
