"","2014_ZellerG-Median","2015_FengQ-Median","2016_VogtmannE-Median","2019_Thom-Median","2019_WirbelJ-Median","2019_Yachida-Median","2021_JunY_1-Median","2021_JunY_2-Median","Average","N.count","P.count","Missing"
"Catenaria anguillulae",1.16994916711711,0.444785294702306,0.427890086346312,0.938609957901611,-0.173981772907688,0.868947446442459,0.666785346240476,0.853432992279624,0.698234514112981,1,7,0
"Allomyces macrogynus",1.02013309854538,0.00831295540203538,0.315672575512285,0.478250293874227,-0.317137332114556,0.657381763063404,0.538873610479478,0.545350228330707,0.454652410460185,1,7,0
"Paramicrosporidium saccamoebae",0.584926536494564,0.736939471606876,0.6300962820421,1.16990605356708,0.414965491765521,0.974026879318762,0.415075441475944,0.683302521576197,0.722575344435631,0,8,0
"Rozella allomycis",9.97520137692015e-05,0.489921983032053,0.39692987194901,1.58639205164523,-1.0218878602277,0.474521381590842,-0.034397279025651,0.201653692422188,0.423914164622464,2,6,0
"Basidiobolus meristosporus",0.227067182333086,0.0458243555578784,0.110976876777187,0.229124486744446,-0.758035934702709,0.227908705677288,0.292542068673531,0.216075476944905,0.104942382180293,1,7,0
"Conidiobolus coronatus",0.147381895029074,0.28823403921593,0.390240257074657,1.29507092319769,-1.24151094436569,0.555345208827958,0.0999173724901112,0.234320154376975,0.355258565123823,1,7,0
"Gonapodya prolifera",0.388210235498547,0.556985565133103,0.0829133594243175,0.652120998197669,-0.934034474920839,0.65495543854539,0.0213100157493903,0.303355020851434,0.286503235435574,1,7,0
"Spizellomyces punctatus",0.39686694914315,0.618125535819187,0.0716127221753389,1.03195516060546,-0.804616143668837,0.569783418340122,0.256395751403804,0.542435940179631,0.413451228749164,1,7,0
"Batrachochytrium salamandrivorans",-0.0180898491155236,-0.209229956742865,0.263056147092501,0.485417892467258,-0.646301359696225,0.227823363092721,0.00356489600807685,0.014532581601099,0.0487817585882895,3,5,0
"Batrachochytrium dendrobatidis",0.169947324838184,2.32373937345002,0.745109083959646,3.39232120739673,-0.235893056126786,1.71460709353723,0.503392361852393,0.982217764737112,1.69107078194304,1,7,0
