"","Median","low-CI","high-CI"
"Catenaria anguillulae",1.36111153757847,1.28468212470406,1.44450812234551
"Allomyces macrogynus",1.00577873443782,0.961557409990581,1.05282814975092
"Paramicrosporidium saccamoebae",1.66663648897596,1.5044962078726,1.87506069411418
"Rozella allomycis",1.40436892928697,1.32134758449184,1.49182789476534
"Basidiobolus meristosporus",1.03227285124535,1.00003692179874,1.06615321451115
"Conidiobolus coronatus",1.22114459510189,1.1691777492507,1.27595957056248
"Gonapodya prolifera",1.47119202578898,1.39280904592386,1.55627267880949
"Spizellomyces punctatus",1.53487964743454,1.44410576925873,1.6363790312792
"Batrachochytrium salamandrivorans",0.864998804090978,0.82936101160746,0.90233525526322
"Batrachochytrium dendrobatidis",5.00628135538577,3.63335586436288,9.12504537888799
"Rhizoclosmatium globosum",0.960520017970236,0.923521317843968,1.00004192993949
"Anaeromyces robustus",1.08334111717479,1.04168489704366,1.12715446789655
"Piromyces sp. E2",1.27565051202944,1.21782040221741,1.33682895066918
"Piromyces finnis",1.35565658176796,1.29409487268699,1.41976334467913
"Neocallimastix californiae",1.17466609381037,1.1223860558653,1.22907887107951
"Mortierella elongata",1.09132662137833,1.04561138954216,1.13955018114946
"Mortierella verticillata",1.32852617404514,1.25620820711452,1.4051322276588
"Rhizophagus irregularis",1.16595184275173,1.1176584107417,1.21687669238562
"Rhizophagus clarus",0.912071675671493,0.881880481498589,0.943479996945698
"Bifiguratus adelaidae",1.13792826713898,1.06668372883966,1.21529572162428
"Syncephalastrum racemosum",1.6816537543076,1.60556351067498,1.76129730549833
"Lichtheimia corymbifera",1.51111878357309,1.44443829286434,1.58829762338879
"Lichtheimia ramosa",1.64486171266871,1.55815231781418,1.73891837713507
"Phycomyces blakesleeanus",1.12937444417555,1.09022004328178,1.17004003227509
"Hesseltinella vesiculosa",1.7083666913912,1.61259363587768,1.8186423498444
"Absidia glauca",1.34130749130041,1.28566010995607,1.40088581912827
"Absidia repens",1.48058109597995,1.41870866078751,1.54631186690127
"Choanephora cucurbitarum",1.5842793196651,1.50691452419187,1.66671180996641
"Mucor ambiguus",1.69698107171779,1.60007656916415,1.79291069456318
"Mucor circinelloides",1.14325093525942,1.11115384788707,1.17579857383758
"Rhizopus microsporus",1.00008058815822,1.00001984412134,1.00001600126103
"Rhizopus delemar",1.67481559019651,1.5928834397142,1.76193112099403
"Trachipleistophora hominis",2.50549357882738,2.31244301652288,2.74996183937156
"Vavraia culicis",2.25002580149325,2.01254764818279,2.51248225941114
"Anncaliia algerae",1.17398043291153,1.11984011378,1.23187225235837
"Amphiamblys sp. WSBS2006",3.1999781887389,2.49991894192279,5.00124815410612
"Ordospora colligata",2.00000443502836,1.700019803635,2.04995763466025
"Pseudoloma neurophilia",1.12497298121278,1.05005275417896,1.21431558707673
"Nematocida parisii",0.999993540439694,0.999973110839623,0.999988656174501
"Nematocida displodere",0.999961774310834,0.999963133247884,1.00002900284334
"Nematocida sp. 1",1.68568108906618,1.51673617664704,1.87499888889729
"Nematocida sp. ERTm5",1.95839736712705,1.71052025562705,2.24995560887983
"Edhazardia aedis",1.24980016598681,1.20145813373467,1.30037189566123
"Spraguea lophii",1.76671211891369,1.62494513719751,1.91658090086229
"Encephalitozoon intestinalis",1.00004420685864,1.0000445322687,1.00006308134019
"Encephalitozoon cuniculi",0.999943784340064,0.999960091545781,1.0000689359796
"Encephalitozoon hellem",0.599961746230764,0.550058272138567,0.749981351020852
"Encephalitozoon romaleae",2.7018863523946,2.16258353764776,3.3816850096254
"Vittaforma corneae",3.50723225702744,2.75001687431821,4.51662225629051
"Nosema apis",1.11524549834115,1.0528359657825,1.18177412937912
"Nosema ceranae",1.98696458677125,1.83331083524703,2.16664335463319
"Nosema bombycis",1.29996598453924,1.2205645698923,1.38425210452428
"Enterospora canceri",1.87497381208385,1.56247692334653,2.25626507712715
"Hepatospora eriocheir",1.45837564458817,1.3676192096388,1.55005122964975
"Enterocytozoon hepatopenaei",1.83334067446839,1.59530789054219,2.01673695998085
"Enterocytozoon bieneusi",1.15501090002472,1.09117291213448,1.22322006768142
"Wallemia mellicola",1.28566744938931,1.18748952321774,1.38748487410479
"Wallemia ichthyophaga",0.773789202181913,0.730046803810152,0.824928957667039
"Mixia osmundae",1.50827351898824,1.33333433454248,1.75312234561752
"Microbotryum intermedium",1.25002436745035,1.16670212191234,1.37492080910812
"Leucosporidium creatinivorum",1.43258385419705,1.34998678805357,1.51658695743195
"Rhodotorula taiwanensis",1.58326561890302,1.48337762816372,1.6999926612985
"Rhodotorula graminis",1.42081956978104,1.3359372269142,1.51343924900366
"Rhodotorula toruloides",1.71194992478364,1.59852264963085,1.83334489885048
"Rhodotorula sp. JG-1b",1.33325416959198,1.24995739758781,1.41671555068485
"Puccinia coronata",1.02286627396106,0.988125177580691,1.05916259443068
"Puccinia striiformis",1.33997691656003,1.26513242343025,1.42130597955833
"Puccinia graminis",1.00322616146361,0.96290431579095,1.04611049011819
"Puccinia sorghi",1.30975010528183,1.25384133011891,1.36905829231906
"Malassezia globosa",3.50004092275341,3.25003784968356,3.81251982712853
"Malassezia restricta",1.30464589983832,1.20144252984736,1.44207535225547
"Malassezia sympodialis",2.13055230843419,1.99997006318745,2.29997479267384
"Malassezia vespertilionis",1.60008756678315,1.52086571052242,1.69235147786536
"Tilletiaria anomala",1.14994932774357,1.08889368735772,1.20826417109472
"Ceraceosorus bombacis",1.5454925508781,1.41933371296606,1.69437809651677
"Tilletia controversa",41.772771989214,37.2222126227768,60.0022852807907
"Tilletia walkeri",2.42306650727793,2.09999085397685,2.77501506257421
"Tilletia indica",1.26669111988235,1.16670750460152,1.3771413929255
"Tilletia caries",1.44231135899501,1.04992224425315,2.55557446309401
"Violaceomyces palustris",1.1944956364635,1.1363026268824,1.25750909510058
"Testicularia cyperi",1.69231362672885,1.55871897985234,1.83324205086282
"Pseudozyma hubeiensis",1.69996953324335,1.56249601802182,1.83334780836694
"Kalmanozyma brasiliensis",1.80358760135625,1.69444062123635,1.92356502530277
"Moesziomyces aphidis",2.81423467902035,2.25026810131797,3.50263364323914
"Moesziomyces antarcticus",1.71879041134729,1.58335617301404,1.87491756208887
"Ustilago hordei",1.81345944556628,1.6969037838865,1.94453550767504
"Ustilago bromivora",3.75002955003884,3.00551712039364,4.58331688601743
"Ustilago maydis",1.5381169424471,1.45029687262056,1.63003829686732
"Anthracocystis flocculosa",1.66646710587388,1.54167998037724,1.79520001172787
"Sporisorium graminicola",1.45833088894853,1.36118026355558,1.56324507084267
"Sporisorium reilianum",1.55097805970562,1.4412501761578,1.66671302691199
"Dacryopinax primogenitus",1.74998869373275,1.62495206843814,1.87508293669078
"Calocera viscosa",1.62698944111927,1.53258472420875,1.75002306368218
"Calocera cornea",1.52826593775912,1.44808979066696,1.61360825894666
"Xanthophyllomyces dendrorhous",1.12907412936593,1.07143223488992,1.18753812102182
"Trichosporon asahii",1.37505411057839,1.27140665786714,1.50006909798335
"Naematelia encephala",1.6166934922353,1.50005137299204,1.7499334668544
"Tremella mesenterica",1.26917525167556,1.19641723193301,1.34125094183267
"Kwoniella heveanensis",1.85002869712823,1.72076989157001,2.00006903804387
"Kwoniella bestiolae",1.27121716307282,1.20834914599605,1.33589612727467
"Kwoniella dejecticola",1.75002047282642,1.64282405761497,1.87497363814621
"Kwoniella pini",1.29168250246328,1.21795675384388,1.36809712306093
"Kwoniella mangrovensis",5.49995805597451,3.41662696768015,10.0125676066384
"Cryptococcus wingfieldii",1.49999897415352,1.333384190583,1.62498307978134
"Cryptococcus amylolentus",1.00001438984571,1.0000336538743,1.00005732065407
"Cryptococcus gattii VGII",7.9999911802775,5.5000915964726,10.0090639324506
"Cryptococcus gattii VGIII",1.00005357648778,1.00004960569751,1.00005271539464
"Cryptococcus gattii VGIV",2.66664187606131,2.2812211985994,3.33331535975614
"Cryptococcus gattii VGI",0.999933480922685,0.999938204476817,0.999923176118865
"Cryptococcus depauperatus",1.74991199990249,1.59998670382694,1.91661357578713
"Cryptococcus neoformans",1.65177787122749,1.53063216235571,1.78748645033952
"Sphaerobolus stellatus",1.16242071874082,1.12422941585599,1.20281212556539
"Punctularia strigosozonata",1.23982069206256,1.16885013763412,1.31811699699828
"Gloeophyllum trabeum",1.56114867639956,1.45002421121193,1.6825698335151
"Neolentinus lepideus",1.39739178609293,1.30208118733308,1.50001866422159
"Sistotremastrum niveocremeum",1.50004542277638,1.36659836943399,1.62508928528776
"Sistotremastrum suecicum",3.00007038633373,2.64999594940088,3.4500337859537
