"","Median","low-CI","high-CI"
"Catenaria anguillulae",0.886392897863093,0.814392605727421,0.967079940194155
"Allomyces macrogynus",0.802660978682618,0.740515498472875,0.871844154586434
"Paramicrosporidium saccamoebae",1.33326678592098,1.16669586475146,1.50837315995615
"Rozella allomycis",0.492471499458012,0.455361513609454,0.527744290457358
"Basidiobolus meristosporus",0.59130077179663,0.554641501447909,0.630977591824527
"Conidiobolus coronatus",0.422929487215505,0.391323533470853,0.456721441869225
"Gonapodya prolifera",0.523392633745842,0.492979414360766,0.555518911900769
"Spizellomyces punctatus",0.572514388329049,0.518568775967089,0.626162540181845
"Batrachochytrium salamandrivorans",0.638916206612168,0.610128209049786,0.667309111949279
"Batrachochytrium dendrobatidis",0.849159190454027,0.716915062789683,0.999913596095273
"Rhizoclosmatium globosum",0.705141302675107,0.649603688395229,0.76671569767954
"Anaeromyces robustus",0.880568290778246,0.816177919755421,0.948202942996633
"Piromyces sp. E2",0.486158271092973,0.452398487931249,0.522101978616156
"Piromyces finnis",1.09874393125303,1.0022243912147,1.20804793016245
"Neocallimastix californiae",0.784879090508231,0.735332113906335,0.838268408934526
"Mortierella elongata",0.614737443398038,0.564130640288222,0.676116334370834
"Mortierella verticillata",1.15119045829397,1.05133439512348,1.26889347435183
"Rhizophagus irregularis",0.443703079765649,0.411276248238832,0.478912847973379
"Rhizophagus clarus",0.489270247657773,0.460907225558627,0.519844594661111
"Bifiguratus adelaidae",0.786997723052402,0.716744409175497,0.863624895788133
"Syncephalastrum racemosum",0.653950103131048,0.608550162808292,0.703710015914184
"Lichtheimia corymbifera",0.94705383121887,0.873227478231872,1.02679325605056
"Lichtheimia ramosa",0.445656292490124,0.410649029758608,0.483357163602886
"Phycomyces blakesleeanus",0.68308277750979,0.633132388661558,0.736355563974805
"Hesseltinella vesiculosa",0.868114902893091,0.800048367496122,0.939805826134325
"Absidia glauca",0.607157817809057,0.573676787030028,0.642865703908199
"Absidia repens",0.585328649309947,0.551143675718571,0.620597885984125
"Choanephora cucurbitarum",0.476180648452304,0.449617890545527,0.50408785318131
"Mucor ambiguus",0.642862209145662,0.600728293907528,0.688431629746405
"Mucor circinelloides",0.486612880262429,0.464882956003971,0.509640237076264
"Rhizopus microsporus",1.00002213455851,0.999970815606678,1.00003528432855
"Rhizopus delemar",0.574140858499938,0.534839219980105,0.617895406079096
"Trachipleistophora hominis",1.41211447469147,1.21241619941572,1.59994491141867
"Vavraia culicis",0.524910282706836,0.516627930880634,0.525068368956763
"Anncaliia algerae",0.693040665146703,0.650268563083515,0.738720638300914
"Amphiamblys sp. WSBS2006",0.58330452480976,0.531287694800804,0.666674757595974
"Ordospora colligata",0.624942272597311,0.57138996899486,0.700057954976793
"Pseudoloma neurophilia",0.458309997463407,0.424214067582343,0.499939415910279
"Nematocida parisii",1,1,1
"Nematocida displodere",0.999983431783766,0.99995796200982,0.999989256865944
"Nematocida sp. 1",0.712175882423812,0.624969103287769,0.772754222185797
"Nematocida sp. ERTm5",0.776746748511521,0.675064452701906,0.999968354517567
"Edhazardia aedis",0.443137122154704,0.415517917354897,0.473714773562857
"Spraguea lophii",2.01476824856682,1.70827162637462,2.32143943987207
"Encephalitozoon intestinalis",0.999985075506259,0.55007517735137,0.999978946132921
"Encephalitozoon cuniculi",0.999924238798779,0.999900646199526,1
"Encephalitozoon hellem",0.52506067520215,0.524931872816423,0.549987523535242
"Encephalitozoon romaleae",0.749982762605471,0.54994985061945,0.99726504517646
"Vittaforma corneae",1.02384153030238,1.00000671618057,1.49992495643766
"Nosema apis",0.333309055294158,0.299951392025019,0.372541375407428
"Nosema ceranae",0.468029818999957,0.405131313609471,0.509991694294108
"Nosema bombycis",0.675026442059484,0.603866788861464,0.755494269012505
"Enterospora canceri",0.549983283293221,0.525004600681281,0.571394410329523
"Hepatospora eriocheir",0.624960435230418,0.571005156526299,0.700009126747053
"Enterocytozoon hepatopenaei",0.525000485913149,0.512500511179375,0.549934324348816
"Enterocytozoon bieneusi",0.637292777948387,0.599354327238985,0.678574832818817
"Wallemia mellicola",0.499999931891039,0.437468780227196,0.520750940464527
"Wallemia ichthyophaga",0.666627942673769,0.600013382939312,0.746723813444762
"Mixia osmundae",1.05553394519994,0.975048484055092,1.17222118224063
"Microbotryum intermedium",0.791700188399832,0.734831097301731,0.85420842419238
"Leucosporidium creatinivorum",0.766757970143385,0.704864467890178,0.830073627723769
"Rhodotorula taiwanensis",1.03360946478319,0.928569461329555,1.15461687103411
"Rhodotorula graminis",0.802652261676657,0.728950014759641,0.890467120112825
"Rhodotorula toruloides",0.419654155905486,0.388895625203695,0.453307945331911
