"","Median","low-CI","high-CI"
"Catenaria anguillulae",1.82632997045076,1.79168408426057,1.86244122598162
"Allomyces macrogynus",1.57721765306371,1.5518496329986,1.60324823463929
"Paramicrosporidium saccamoebae",1.96431578798977,1.88495574728642,2.00001512997304
"Rozella allomycis",1.38945718678072,1.36512329771044,1.41508123349461
"Basidiobolus meristosporus",1.17113606891221,1.15550312497068,1.1871226406127
"Conidiobolus coronatus",1.46952021878348,1.44874734351297,1.49046932491039
"Gonapodya prolifera",1.5745673177084,1.54952535194717,1.60004342007658
"Spizellomyces punctatus",1.48430072627363,1.44622387116738,1.5119011831064
"Batrachochytrium salamandrivorans",1.17106679244004,1.15521284278736,1.1875009987815
"Batrachochytrium dendrobatidis",3.28207246731249,3.04710927822512,3.58336433329952
"Rhizoclosmatium globosum",1.27502772225515,1.25772757350526,1.29244504840147
"Anaeromyces robustus",1.18925942573992,1.17530616914901,1.20344064109197
"Piromyces sp. E2",0.984697572317094,0.973501984927913,0.996011537215493
"Piromyces finnis",1.27170254002496,1.25583801253872,1.2877308435436
"Neocallimastix californiae",1.12625092991993,1.1135744330963,1.13907268630018
"Mortierella elongata",1.46275376813286,1.44046177666745,1.48606877361085
"Mortierella verticillata",1.2564149938652,1.23809195249566,1.27502657082114
"Rhizophagus irregularis",1.05125207081295,1.03421386840541,1.06857165310391
"Rhizophagus clarus",1.13270866180631,1.12106141066857,1.14447591075932
"Bifiguratus adelaidae",2.04538829219505,2.00316861487979,2.09088837092569
"Syncephalastrum racemosum",1.89909488953656,1.85748152462357,1.94168689606166
"Lichtheimia corymbifera",2.16665858475835,2.1176799729824,2.20906820434934
"Lichtheimia ramosa",1.20960143641486,1.19288062897601,1.22667615541602
"Phycomyces blakesleeanus",1.29747313111059,1.27829483778091,1.31695107144016
"Hesseltinella vesiculosa",1.45161514767547,1.42503642982576,1.48023109982107
"Absidia glauca",1.19773114923441,1.18144383849166,1.21424649219259
"Absidia repens",1.20119534013541,1.18735773561932,1.21531667089374
"Choanephora cucurbitarum",1.31735558723981,1.29874806874122,1.33617305143658
"Mucor ambiguus",1.34408656002669,1.32250154077731,1.36663268927259
"Mucor circinelloides",1.2718357659036,1.25462871804436,1.28933040205104
"Rhizopus microsporus",1.00001202886555,1.00006258392259,1.0000292496878
"Rhizopus delemar",1.1649997862634,1.15056061865041,1.17939139521786
"Trachipleistophora hominis",1.64829448428307,1.60716177645121,1.67664959465839
"Vavraia culicis",3.49997345870789,3.19857244757398,3.58332632206039
"Anncaliia algerae",1.2316826222736,1.21431248361402,1.24992549299388
"Amphiamblys sp. WSBS2006",2.05001360685553,2.01005278959282,2.16675195442368
"Ordospora colligata",1.99999741941022,1.80000940968828,2.00003224898208
"Pseudoloma neurophilia",1.85005544733549,1.80003937643048,1.89784706379397
"Nematocida parisii",0.99998083393289,0.999972348307759,0.999976846747353
"Nematocida displodere",2.02500371709151,2.00004580372815,2.26666099231832
"Nematocida sp. 1",1.50006736408245,1.44997374645755,1.53809495808766
"Nematocida sp. ERTm5",1.9999530857296,1.75007453268824,2.00005510247592
"Edhazardia aedis",1.2324473008722,1.21742177002635,1.24762950926024
"Spraguea lophii",1.6110655820155,1.57692086414061,1.64995291455983
"Encephalitozoon intestinalis",0.999997163724373,0.999967538859805,0.999978661136957
"Encephalitozoon cuniculi",1.00001481603969,1.00003433597293,1.00002579522059
"Encephalitozoon hellem",1.00000956157738,1.00001141876391,1.00008369846055
"Encephalitozoon romaleae",1.00000751995096,1.00000223740608,1.00000393714793
"Vittaforma corneae",5.04997223555178,5.03572161391928,5.05004441547317
"Nosema apis",1.33336919177777,1.31240375571473,1.35714002005998
"Nosema ceranae",1.50002601242941,1.48033646704656,1.52495627255167
"Nosema bombycis",1.32502717892389,1.30211280871495,1.34707503470817
"Enterospora canceri",2.00003485710964,1.94442985745039,2.01256003257854
"Hepatospora eriocheir",1.48530749422868,1.43750553170421,1.50002308709401
"Enterocytozoon hepatopenaei",1.62498496280345,1.57228789768863,1.66670712013041
"Enterocytozoon bieneusi",1.30634410203963,1.28875943055594,1.32412456857697
"Wallemia mellicola",1.50627531081258,1.49486605670685,1.53568924729229
"Wallemia ichthyophaga",1.49996457503967,1.449907224448,1.50216353448853
"Mixia osmundae",1.60718326119085,1.57143409666987,1.66664400882533
"Microbotryum intermedium",1.53334762226931,1.50451494643704,1.56256200908049
"Leucosporidium creatinivorum",1.74749583100493,1.70252635302172,1.78099265792325
"Rhodotorula taiwanensis",2.50001085588809,2.43749483696965,2.53704783819816
"Rhodotorula graminis",1.83996145517846,1.8013248899459,1.88068253540043
"Rhodotorula toruloides",1.71267574498795,1.67998693856879,1.74723416131572
"Rhodotorula sp. JG-1b",1.75001107477306,1.71244434239886,1.79162227608266
"Puccinia coronata",1.17593261485956,1.16209976478614,1.19004442436729
"Puccinia striiformis",1.19168787378383,1.17674755199813,1.2069881065917
"Puccinia graminis",1.14302935293595,1.13010299108204,1.15620173311633
"Puccinia sorghi",1.27896034964343,1.26191257841277,1.2962213600433
"Malassezia globosa",2.99995459770355,2.81446094090222,3.04000734763293
"Malassezia restricta",1.68331323637528,1.63538860218857,1.73996478093747
"Malassezia sympodialis",2.00002241124068,1.96669901888086,2.02495512126492
"Malassezia vespertilionis",2.24997763271531,2.17118547267788,2.312500129616
"Tilletiaria anomala",1.40036243804113,1.37772572925511,1.42502611501075
"Ceraceosorus bombacis",1.28087163556967,1.25637028398745,1.30303340853855
"Tilletia controversa",1.00002030287909,1.00006748642183,1.00000687792028
"Tilletia walkeri",4.19998765635712,4.00001480509778,4.42244099599127
"Tilletia indica",1.78570199226869,1.74755426041678,1.83333914634232
"Tilletia caries",1.07147257989276,1.00384444272327,1.13788168185567
"Violaceomyces palustris",1.48418257501028,1.45654758902901,1.50718645279474
"Testicularia cyperi",1.43755230456237,1.4047741244182,1.47524816412488
"Pseudozyma hubeiensis",1.63048722907615,1.59993622969523,1.6666829297294
"Kalmanozyma brasiliensis",1.37883024803791,1.35470234510556,1.40451018504708
"Moesziomyces aphidis",3.68180862856251,3.47729661858699,3.90199486793774
"Moesziomyces antarcticus",2.29630555223126,2.21151018971692,2.37621042338033
"Ustilago hordei",2.75687954122285,2.64995316787109,2.89484012830715
"Ustilago bromivora",2.49998003968872,2.33329261758305,2.51190477516332
"Ustilago maydis",1.84375340612148,1.80946770436046,1.881261187755
"Anthracocystis flocculosa",1.91109280231327,1.86453748407549,1.9600785715418
"Sporisorium graminicola",1.50650338761509,1.47505904247393,1.54090560066127
"Sporisorium reilianum",1.84615069978798,1.81114806418878,1.88178912013562
"Dacryopinax primogenitus",1.50004019421864,1.47502749814822,1.51916371155145
"Calocera viscosa",1.31591001490486,1.29542399448753,1.33581941871277
"Calocera cornea",1.68178017448916,1.65356465450586,1.71088458183432
"Xanthophyllomyces dendrorhous",1.44999466659979,1.41666955915491,1.48340902364917
"Trichosporon asahii",1.22221013372046,1.19749573927129,1.24756353436218
"Naematelia encephala",1.45455268398278,1.42497358241887,1.49086982285711
"Tremella mesenterica",1.44045438054049,1.4133462986297,1.46891843413821
"Kwoniella heveanensis",3.08336137597043,2.93477843079244,3.25161329983191
"Kwoniella bestiolae",1.69746984018859,1.66673863010956,1.7307682888361
"Kwoniella dejecticola",1.312538873206,1.29161641109725,1.33333447242315
"Kwoniella pini",1.09158867917796,1.07692195459669,1.10815899240747
"Kwoniella mangrovensis",1.00001363652366,1.00000380923376,1.00007396262259
"Cryptococcus wingfieldii",1.51255224442969,1.50006508225395,1.5416694822846
"Cryptococcus amylolentus",1.50003169454115,1.38838620555884,1.61366159012161
"Cryptococcus gattii VGII",1.00007368111644,1.00007666247435,1.00003004083904
"Cryptococcus gattii VGIII",1.0357407272611,1.00002590926262,1.11421417765335
"Cryptococcus gattii VGIV",1.51962931171375,1.50002702625032,1.59520146652596
"Cryptococcus gattii VGI",1.00004971715786,1.00000176951859,1.0000631808242
"Cryptococcus depauperatus",1.25559220380684,1.23439509223195,1.28777887978394
"Cryptococcus neoformans",1.51786408771525,1.48830515787081,1.54774352861909
"Sphaerobolus stellatus",1.08163359789646,1.06958305832198,1.09374433122667
"Punctularia strigosozonata",1.29892484048197,1.28018317432732,1.31807242638471
"Gloeophyllum trabeum",1.48367752640206,1.46038186981955,1.50188563737594
"Neolentinus lepideus",1.55199546180154,1.52547921156296,1.58076882425579
"Sistotremastrum niveocremeum",1.56248403617606,1.52858987713534,1.5958188044407
"Sistotremastrum suecicum",1.59709779416816,1.56817628713371,1.6249593562284
"Serendipita vermifera",1.23639311716255,1.21666109632437,1.2520632752775
"Serendipita indica",1.28564347824785,1.26016995405233,1.30948783942811
"Exidia glandulosa",1.56689919566704,1.54365118783326,1.59112861223802
"Schizopora paradoxa",1.25248011153176,1.23323794572475,1.27372634393636
"Fomitiporia mediterranea",1.27553875481947,1.25718165875318,1.29306294686438
"Pyrrhoderma noxium",1.2322137148609,1.21431947990536,1.24999189376529
"Botryobasidium botryosum",1.60180924530631,1.57241990435359,1.63303461703448
"Rhizoctonia solani",1.16473729873445,1.15002129253682,1.17968668088828
"Peniophora sp. CONT",1.47941148838968,1.45684887074207,1.50160185301617
"Stereum hirsutum",1.30111073327643,1.2799584561836,1.32227239007558
"Heterobasidion irregulare",1.50003739574503,1.47725798918767,1.52388189500563
"Phlebia centrifuga",1.55492209358873,1.52780450941357,1.58326343066192
"Gelatoporia subvermispora",1.57305977893105,1.54079855432117,1.60710989783353
"Fomitopsis pinicola",1.40572391786031,1.38091828394148,1.43057704120019
"Daedalea quercina",1.40457534604611,1.3792053407075,1.42853231917345
"Grifola frondosa",1.37945986089207,1.35591713974865,1.40445475314245
"Postia placenta",1.93292913938642,1.86813221636336,2.0007153530714
"Phlebiopsis gigantea",1.70508557576935,1.67502672905713,1.73542350949922
"Phanerochaete carnosa",1.49761700558731,1.46692444352548,1.51919292261619
"Phanerochaete chrysosporium",1.38341939559454,1.36248183061782,1.40787054369009
"Wolfiporia cocos",2.00028602762942,1.95838705983448,2.05004110532912
"Laetiporus sulphureus",1.34609023867375,1.32606266795227,1.36665179657803
"Ganoderma sinense",1.90002622647089,1.85718856458716,1.94528126261512
"Dichomitus squalens",1.63888015991334,1.6114986349581,1.66662368318453
"Trametes pubescens",1.32288372482612,1.29993072905792,1.34764846425055
"Trametes coccinea",1.27407105497402,1.25708273445747,1.29166385414565
"Trametes cinnabarina",2.35002885388706,2.29484760332317,2.40907605197467
"Trametes versicolor",1.41459107367918,1.38925515664498,1.44046788031597
"Jaapia argillacea",1.58822821619527,1.56038040990143,1.61820482102929
