"","N.count","P.count","Missing","2014_ZellerG-Median","2015_FengQ-Median","2016_VogtmannE-Median","2019_Thom-Median","2019_WirbelJ-Median","2019_Yachida-Median","2021_JunY_1-Median","2021_JunY_2-Median"
"Albugo candida",6,2,0,-0.570355879338811,-0.275749473012911,0.0338553207414606,0.805740685389339,-1.19945637420463,-0.0516546080865831,-0.837355681258278,-0.547318167860817
"Albugo laibachii",5,3,0,-0.0974592719431068,-0.245261074908065,0.0480321503379659,0.272529018572491,-0.531078104960112,0.117183247800948,-0.0230203893472971,-0.427826901604996
"Aphanomyces invadans",4,4,0,0.205828335109842,0.236689211786796,-0.24664507483642,0.277191006559651,-0.441195661208828,0.154175390061699,-0.559331420271759,-0.0571693058877577
"Aphanomyces astaci",5,3,0,0.210713612988722,-0.349352586802515,0.0425678076673365,-0.0821458512451239,-0.500274872597522,0.0433595327640593,-0.335159169542924,-0.113981585714526
"Saprolegnia diclina",3,5,0,0.245177024110079,0.0465396406680261,-0.194686882996776,0.513721491817253,-0.266664820920242,0.184907901117105,-0.4591455036945,0.197569081343911
"Saprolegnia parasitica",6,2,0,0.182834638926046,-0.534969593423879,-0.438043142526126,-0.0742272807506646,-0.447482583144652,0.309796909959888,-0.330376154741466,-0.252701746902822
"Phytopythium vexans",2,6,0,0.448769611724022,-0.0912684622434951,0.0994098840542895,0.316215049096502,-0.264675575070255,0.340774416972429,0.00652820755888451,0.251911691166005
"Globisporangium ultimum",5,3,0,0.159151496565555,-0.156511246632654,-0.314788880816245,0.472034340755187,-0.647152914090097,0.248722632371094,-0.340752731548241,-0.0258152973902072
"Pythium irregulare",3,5,0,0.309067988658494,0.0748057184583128,0.0594056222372021,0.41818477432398,-0.446578500903213,0.113653688138182,-0.392247709561657,-0.124061460173086
"Pythium arrhenomanes",4,4,0,0.379858349928478,-0.297434832427568,-0.382350584624738,0.372361410525921,-0.0811796515413759,0.2507915279326,-0.379370618642051,0.146388197495751
"Pythium iwayamai",5,3,0,0.293233502001887,-0.0507803461518476,-0.0301317721171017,-0.669231010550358,-0.47288997375056,0.191972997693581,-0.234344883510723,0.266556847270114
"Pythium aphanidermatum",6,2,0,-0.320075679844261,0.179425533462151,-0.0955636357383861,-0.42606936263326,-0.347155603913137,0.0445207836165814,-0.483827218068258,-0.467743814192238
"Hyaloperonospora arabidopsidis",5,3,0,-0.244366577757857,-0.271962589472652,0.0251472342794978,0.28224393460773,-1.19798954432282,0.170329028888209,-0.470712041858824,-0.2722692763862
"Phytophthora parasitica",3,5,0,0.385107897625122,0.0900503528674779,0.166138948950303,0.238387984043748,-0.721335738741092,0.164801045072054,-0.514050897735062,-0.111909305747875
"Phytophthora palmivora",4,4,0,-0.124041209437046,-0.0753597722895153,0.0696010735661784,0.157757014068871,-0.392250818469948,0.172059333695437,0.00899845753880811,-0.227038278883801
"Phytophthora capsici",2,6,0,0.499601658384132,0.0384472862704409,-0.225211997153637,0.409687517447168,-0.155050718843215,0.365014344686847,0.295318935087003,0.341190304483858
"Phytophthora ramorum",7,1,0,-0.0811285442991829,-0.374745593661893,-0.00587439504282646,-0.33690552537625,-0.557498288854276,0.0518164860372723,-0.507823341834167,-0.237780234771503
"Phytophthora cinnamomi",5,3,0,0.51287768320087,-0.0543335792762143,-0.120325382598521,0.174777067706464,-0.419282839770348,0.0796091562244052,-0.353322087767399,-0.0664328106126565
"Phytophthora infestans",6,2,0,0.000608675853052777,-0.288555405800595,-0.274384293997181,-0.0405468426758543,-0.0899832975801257,0.0330418800574285,-0.697056640353132,-0.226887543724396
"Phytophthora sojae",4,4,0,0.352361530564136,0.135572741167768,-0.239220770088779,-0.0357065897751958,-0.167976128801761,0.30345201525799,-0.559427891462664,0.159696247055357
"Catenaria anguillulae",3,5,0,0.568991815833316,-0.248745838273154,-0.110825335184251,0.414948298225847,0.25287614595929,0.322735622088211,-0.0707551863695822,0.223514284959446
"Allomyces macrogynus",6,2,0,0.456637906741086,-0.338429701371568,-0.331430898317216,-0.043719167360059,-0.296713286033696,0.359435799458254,-0.228197670052711,-0.000557801879416335
"Paramicrosporidium saccamoebae",5,3,0,-0.149514997776083,-0.277636974802884,0.253624028072515,0.499993085855288,-0.168903715393837,0.293524818909514,-0.624521277009404,-0.408875240071401
"Rozella allomycis",5,3,0,-0.611864269373289,0.00472719235301511,0.166860586841479,1.20664734054486,-0.675751325096381,-0.0769227852980091,-0.670846873711974,-0.477839109227629
"Basidiobolus meristosporus",7,1,0,-0.213345004131898,-0.028730228265705,-0.0680823135355614,-0.0436234453480431,-0.269668516781739,0.0155109923318122,-0.264617769981679,-0.26120538974386
"Conidiobolus coronatus",4,4,0,-0.269243323200911,0.107946481399753,0.115907580986643,1.14180190816229,-0.985706116977158,0.336106462282268,-0.286272648222903,-0.200905666619365
"Gonapodya prolifera",6,2,0,-0.15345073623238,-0.00337178994714206,-0.109892555729197,0.245539751539659,-0.49139967153351,0.202254307799153,-0.337667680666691,-0.211616308077224
"Spizellomyces punctatus",7,1,0,-0.191982593946481,-0.141576237213393,-0.350471614526302,0.0101623203159724,-0.382640436331012,-0.218379891574995,-0.572469001544893,-0.347910000358677
"Batrachochytrium salamandrivorans",5,3,0,-0.407022788665874,-0.371859634777469,0.077388912223905,0.165483009104008,-0.372121379061871,0.0976945415781392,-0.604463862266631,-0.440557706197943
"Batrachochytrium dendrobatidis",5,3,0,-0.654087434486075,0.226590567074136,-0.42665168410981,0.706204312766735,-0.0579514384297432,0.299205635910354,-0.277098659436265,-0.0949495442930831
"Rhizoclosmatium globosum",7,1,0,-0.353113497931502,-0.315347910747607,-0.186450325149145,0.0445262765538914,-0.231301165916261,-0.00537228331630692,-0.131826373081275,-0.291498018273939
"Anaeromyces robustus",5,3,0,-0.697982403704648,-0.121630898072343,-0.072598172104821,0.762112672180353,0.137950073008618,0.169649218090641,-0.294044212805049,-0.321856441923727
"Piromyces sp. E2",6,2,0,-0.688897460978883,0.0346825126316649,-0.363161417433176,1.10910982167225,-0.442913836053981,-0.0528457617429651,-0.510776627027588,-0.385380824127968
"Piromyces finnis",3,5,0,-0.565576184552211,0.205731020900954,0.146348980585768,0.335469483272633,-0.104804442543415,0.155611896755852,0.116939615374373,-0.0604173945708633
"Neocallimastix californiae",4,4,0,-0.663145948925862,0.0631107066027763,-0.238952422550424,0.447003298321271,0.111953311579882,0.0549782825504514,-0.230734613302464,-0.227181107031099
"Mortierella elongata",6,2,0,-0.285221095701558,-0.0801071744140184,-0.315941880086103,0.316880136541913,-0.735562926756935,0.0672070713643287,-0.0229610622804179,-0.122597961620227
"Mortierella verticillata",3,5,0,0.0781220504167654,-0.0534335391905343,-0.162048839632241,-0.0655792234323011,0.19286800606018,0.0800414695339586,0.127869193371808,0.208046019530508
"Rhizophagus irregularis",6,2,0,-0.728144262563417,0.0538886200814213,-0.205331160702071,0.43516059801509,-0.771354358954156,-0.36658626983768,-0.355036848077259,-0.478614314831689
"Rhizophagus clarus",6,2,0,-0.651774666148773,-0.305831638448879,-0.151763778089731,0.579729598438937,-0.699915654765864,0.10080870143836,-0.784834290742986,-0.343756664511232
"Bifiguratus adelaidae",6,2,0,-0.196965628754571,-0.51638374406107,-0.0547515308276993,0.0515229455265648,-0.625145590554807,0.138755868139178,-0.19207755691085,-0.321999738410667
"Syncephalastrum racemosum",6,2,0,-0.263346291744977,0.453793875632042,-0.140751958702918,-0.298481936235216,-0.373933347505749,0.140469860265437,-0.374273657084268,-0.649198636075902
"Lichtheimia corymbifera",4,4,0,-0.4051703550341,0.14741246892047,0.0950264580117423,0.342149998780673,-0.228257633621765,0.348831461104552,-0.0319657301942671,-0.0534945106938505
"Lichtheimia ramosa",6,2,0,-0.3455607919621,0.463045641544973,-0.223411401252752,0.00727577456178681,-0.731031357696481,-0.0222147352022256,-0.219656378746522,-0.28868560821931
"Phycomyces blakesleeanus",6,2,0,-0.330873548740372,-0.204287991860533,0.10884154920504,0.321716072375172,-0.519637609068888,-0.00553169711817497,-0.141087010656355,-0.325986385436233
"Hesseltinella vesiculosa",5,3,0,0.249256256912959,-0.0618875663238561,0.237867432081306,-0.514189385161009,-0.0330379625872587,0.184443562554151,-0.205547997350809,-0.183996293808666
"Absidia glauca",5,3,0,-0.268957341991666,0.124295683993474,-0.355923485613952,0.329895660289206,-0.0907393695472555,0.119883009155601,-0.370450763729436,-0.385056351628722
"Absidia repens",4,4,0,-0.222166505328413,0.284359766990098,0.0113219186568032,0.196239318190252,-0.0958391702391391,0.195525271066226,-0.280190635026013,-0.286156061322897
"Choanephora cucurbitarum",5,3,0,-0.702473846701904,0.160060113005691,-0.232713431161552,0.221388732966264,-0.707119701793122,0.105490987963078,-0.631633183516061,-0.317942967115697
"Mucor ambiguus",4,4,0,-0.356717208293455,0.317166837963521,0.249435488930251,-0.402771275151058,0.0537899429422426,0.00834138668114681,-0.278069254971684,-0.173578189674845
"Mucor circinelloides",5,3,0,-0.3204746724595,0.0790866038214908,-0.0677142063606532,0.109804454553453,-0.725803036995831,0.0758372227201996,-0.669992383666105,-0.322433386006706
"Rhizopus microsporus",4,4,0,-0.454754887039562,0.0472678899398779,-0.269920837003999,0.135727153117534,0.0627391188958379,0.0478228338784036,-1.73949662853549,-0.0392667417006756
