"","N.count","P.count","Missing","2014_ZellerG-Median","2015_FengQ-Median"
"Albugo candida",2,0,0,-0.570355879338811,-0.275749473012911
"Albugo laibachii",2,0,0,-0.0974592719431068,-0.245261074908065
"Aphanomyces invadans",0,2,0,0.205828335109842,0.236689211786796
"Aphanomyces astaci",1,1,0,0.210713612988722,-0.349352586802515
"Saprolegnia diclina",0,2,0,0.245177024110079,0.0465396406680261
"Saprolegnia parasitica",1,1,0,0.182834638926046,-0.534969593423879
"Phytopythium vexans",1,1,0,0.448769611724022,-0.0912684622434951
"Globisporangium ultimum",1,1,0,0.159151496565555,-0.156511246632654
"Pythium irregulare",0,2,0,0.309067988658494,0.0748057184583128
"Pythium arrhenomanes",1,1,0,0.379858349928478,-0.297434832427568
"Pythium iwayamai",1,1,0,0.293233502001887,-0.0507803461518476
"Pythium aphanidermatum",1,1,0,-0.320075679844261,0.179425533462151
"Hyaloperonospora arabidopsidis",2,0,0,-0.244366577757857,-0.271962589472652
"Phytophthora parasitica",0,2,0,0.385107897625122,0.0900503528674779
"Phytophthora palmivora",2,0,0,-0.124041209437046,-0.0753597722895153
"Phytophthora capsici",0,2,0,0.499601658384132,0.0384472862704409
"Phytophthora ramorum",2,0,0,-0.0811285442991829,-0.374745593661893
"Phytophthora cinnamomi",1,1,0,0.51287768320087,-0.0543335792762143
"Phytophthora infestans",1,1,0,0.000608675853052777,-0.288555405800595
"Phytophthora sojae",0,2,0,0.352361530564136,0.135572741167768
"Catenaria anguillulae",1,1,0,0.568991815833316,-0.248745838273154
"Allomyces macrogynus",1,1,0,0.456637906741086,-0.338429701371568
"Paramicrosporidium saccamoebae",2,0,0,-0.149514997776083,-0.277636974802884
"Rozella allomycis",1,1,0,-0.611864269373289,0.00472719235301511
"Basidiobolus meristosporus",2,0,0,-0.213345004131898,-0.028730228265705
"Conidiobolus coronatus",1,1,0,-0.269243323200911,0.107946481399753
"Gonapodya prolifera",2,0,0,-0.15345073623238,-0.00337178994714206
"Spizellomyces punctatus",2,0,0,-0.191982593946481,-0.141576237213393
"Batrachochytrium salamandrivorans",2,0,0,-0.407022788665874,-0.371859634777469
"Batrachochytrium dendrobatidis",1,1,0,-0.654087434486075,0.226590567074136
"Rhizoclosmatium globosum",2,0,0,-0.353113497931502,-0.315347910747607
"Anaeromyces robustus",2,0,0,-0.697982403704648,-0.121630898072343
"Piromyces sp. E2",1,1,0,-0.688897460978883,0.0346825126316649
"Piromyces finnis",1,1,0,-0.565576184552211,0.205731020900954
"Neocallimastix californiae",1,1,0,-0.663145948925862,0.0631107066027763
"Mortierella elongata",2,0,0,-0.285221095701558,-0.0801071744140184
"Mortierella verticillata",1,1,0,0.0781220504167654,-0.0534335391905343
"Rhizophagus irregularis",1,1,0,-0.728144262563417,0.0538886200814213
"Rhizophagus clarus",2,0,0,-0.651774666148773,-0.305831638448879
"Bifiguratus adelaidae",2,0,0,-0.196965628754571,-0.51638374406107
"Syncephalastrum racemosum",1,1,0,-0.263346291744977,0.453793875632042
"Lichtheimia corymbifera",1,1,0,-0.4051703550341,0.14741246892047
"Lichtheimia ramosa",1,1,0,-0.3455607919621,0.463045641544973
"Phycomyces blakesleeanus",2,0,0,-0.330873548740372,-0.204287991860533
"Hesseltinella vesiculosa",1,1,0,0.249256256912959,-0.0618875663238561
"Absidia glauca",1,1,0,-0.268957341991666,0.124295683993474
"Absidia repens",1,1,0,-0.222166505328413,0.284359766990098
"Choanephora cucurbitarum",1,1,0,-0.702473846701904,0.160060113005691
"Mucor ambiguus",1,1,0,-0.356717208293455,0.317166837963521
"Mucor circinelloides",1,1,0,-0.3204746724595,0.0790866038214908
"Rhizopus microsporus",1,1,0,-0.454754887039562,0.0472678899398779
"Rhizopus delemar",1,1,0,-0.66447836633709,0.274072549573712
"Trachipleistophora hominis",1,1,0,-0.340633931279482,0.178791678652011
"Vavraia culicis",1,1,0,-0.525690962553802,0.374183867824606
"Anncaliia algerae",2,0,0,-0.680860144576556,-0.111197519765513
"Amphiamblys sp. WSBS2006",1,1,0,0.310498397805749,-0.0589013662225348
"Ordospora colligata",2,0,0,-0.166700213831922,-0.0822162855099463
"Pseudoloma neurophilia",2,0,0,-0.215158666044475,-0.510259983367056
"Nematocida parisii",2,0,0,-0.00317309079479893,-0.0609101593735557
"Nematocida displodere",2,0,0,-0.134967513631725,-0.800092778513204
"Nematocida sp. 1",2,0,0,-0.454540835801548,-0.207028773514662
"Nematocida sp. ERTm5",2,0,0,-1.67581201785689,-0.347031880366554
"Edhazardia aedis",1,1,0,-0.815071895123647,0.0315589993395665
"Spraguea lophii",2,0,0,-0.854644794643162,-0.0847700598144637
"Encephalitozoon intestinalis",1,1,0,0.1051034022283,-0.0377298519593573
"Encephalitozoon cuniculi",2,0,0,-0.0705930698056846,-0.0658756872651028
"Encephalitozoon hellem",2,0,0,-1.43135212863168,-2.06635092234637
"Encephalitozoon romaleae",1,1,0,-0.808385765597549,0.173159579885789
"Vittaforma corneae",1,1,0,-0.693375027512974,0.661839948923585
"Nosema apis",2,0,0,-1.17935423002583,-0.0284830193211631
"Nosema ceranae",1,1,0,-0.820076470472255,0.392832981785687
"Nosema bombycis",2,0,0,-0.853451987818187,-0.0721190345883157
"Enterospora canceri",2,0,0,-1.16166150571903,-0.355548937990544
"Hepatospora eriocheir",2,0,0,-0.563275400783381,-0.0781864196590752
"Enterocytozoon hepatopenaei",1,1,0,-1.07559792683463,0.397890787603008
"Enterocytozoon bieneusi",2,0,0,-0.530524040924805,-0.493933288111216
"Wallemia mellicola",2,0,0,-0.0429069572641567,-0.0924663965654167
"Wallemia ichthyophaga",2,0,0,-0.604917980924744,-0.962978080221917
"Mixia osmundae",1,1,0,0.396975200269479,-0.401797556729767
"Microbotryum intermedium",1,1,0,0.494354170930884,-0.503828068429051
"Leucosporidium creatinivorum",1,1,0,0.348339697609525,-0.153893668224376
"Rhodotorula taiwanensis",1,1,0,0.798936749680606,-0.0449754236929637
"Rhodotorula graminis",1,1,0,0.651862679129252,-0.206468059270403
"Rhodotorula toruloides",0,2,0,0.38118120550371,0.106926650589695
"Rhodotorula sp. JG-1b",1,1,0,0.310458786818716,-0.656609130859563
"Puccinia coronata",2,0,0,-0.304021551553914,-0.198843612801683
"Puccinia striiformis",1,1,0,-0.0405578512563176,0.208939916945429
"Puccinia graminis",2,0,0,-0.20948089962423,-0.403063088086026
"Puccinia sorghi",2,0,0,-0.427362670165731,-0.192813492217111
"Malassezia globosa",1,1,0,-0.504496869116361,1.25983125559924
"Malassezia restricta",2,0,0,-0.215383147464031,-1.68820589272064
"Malassezia sympodialis",0,2,0,0.341248259639084,0.378063807123089
"Malassezia vespertilionis",1,1,0,-0.0394852590961905,0.105896148548972
"Tilletiaria anomala",1,1,0,0.217411662961473,-0.237073361694959
"Ceraceosorus bombacis",1,1,0,0.240842257020421,-0.472285912381133
"Tilletia controversa",0,2,0,0.951556063340868,2.7064337748485
"Tilletia walkeri",1,1,0,-0.11497701977929,0.372365285274354
"Tilletia indica",2,0,0,-0.162008976914626,-0.565151203322583
"Tilletia caries",1,1,0,0.0143959195768865,-0.48742997371189
"Violaceomyces palustris",2,0,0,-0.0688730764570486,-0.136308715800686
"Testicularia cyperi",1,1,0,0.703974746583616,-0.0908219616843977
"Pseudozyma hubeiensis",1,1,0,0.33870577164499,-0.21407808985855
"Kalmanozyma brasiliensis",0,2,0,0.155814803953694,0.355870024665896
"Moesziomyces aphidis",1,1,0,0.450767858006287,-0.358682781105636
"Moesziomyces antarcticus",1,1,0,0.836239802683245,-0.263870788623698
"Ustilago hordei",1,1,0,-0.0666693448580041,0.330910975805913
"Ustilago bromivora",0,2,0,0.602469216239855,0.132509928381529
"Ustilago maydis",0,2,0,0.380056295587939,0.0941596726217066
"Anthracocystis flocculosa",1,1,0,0.648602918085862,-0.228132219520842
"Sporisorium graminicola",1,1,0,0.0186088654408718,-0.447448378220493
"Sporisorium reilianum",1,1,0,0.788975140834611,-0.201950193655374
"Dacryopinax primogenitus",0,2,0,0.360324281023593,0.0494273931524665
"Calocera viscosa",1,1,0,0.649104498855384,-0.0125802298254519
"Calocera cornea",0,2,0,0.121776816912352,0.125758888792278
"Xanthophyllomyces dendrorhous",1,1,0,0.134888678316281,-0.295037754983071
"Trichosporon asahii",1,1,0,0.707782190766835,-0.0517106872513431
