"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value"
"Albugo candida",-0.570355879338811,-0.626419910133701,-0.515066450004805,3.93909283170651e-88,-0.275749473012911,-0.352415974674118,-0.199920807577939,2.24817796934948e-12
"Albugo laibachii",-0.0974592719431068,-0.146613465055862,-0.0483379411094193,0.000101054906787081,-0.245261074908065,-0.311495806603633,-0.179768699490844,1.40879896684178e-12
"Aphanomyces invadans",0.205828335109842,0.154742659732313,0.256707292890333,1.77839218798863e-15,0.236689211786796,0.160547539155786,0.313408029389358,6.8514921519479e-10
"Aphanomyces astaci",0.210713612988722,0.170272670698879,0.250766998332783,1.48288732777208e-23,-0.349352586802515,-0.414703129731884,-0.282475393456162,3.70037883722373e-22
"Saprolegnia diclina",0.245177024110079,0.192331812584255,0.297068614940328,3.8525339759782e-19,0.0465396406680261,-0.033022580530581,0.126325590953639,0.2535505663894
"Saprolegnia parasitica",0.182834638926046,0.122527223236493,0.243397870845548,2.39589833331257e-09,-0.534969593423879,-0.620750557364002,-0.449958514900668,1.47044575171378e-34
"Phytopythium vexans",0.448769611724022,0.402928104714426,0.494582835433155,2.20141823232348e-76,-0.0912684622434951,-0.166703730476094,-0.0177008268949934,0.0142518505376297
"Globisporangium ultimum",0.159151496565555,0.122979714636447,0.19508283384773,2.81404519530172e-17,-0.156511246632654,-0.203382346224429,-0.109228101766014,1.95989114173919e-10
"Pythium irregulare",0.309067988658494,0.263150623595737,0.355416489020198,3.3073267237574e-38,0.0748057184583128,0.00757974186913475,0.141444430792346,0.028990183063648
"Pythium arrhenomanes",0.379858349928478,0.331581507176763,0.42848096963187,1.08396138021768e-50,-0.297434832427568,-0.363623195353849,-0.232097803877507,5.18609029484177e-18
"Pythium iwayamai",0.293233502001887,0.250419044846711,0.336246737661467,2.05579540239675e-39,-0.0507803461518476,-0.115847216000066,0.0138442021740182,0.122202306576464
"Pythium aphanidermatum",-0.320075679844261,-0.373489325019517,-0.266260821976389,9.72542571334914e-30,0.179425533462151,0.092219142950099,0.266638089126814,5.6438693846973e-05
"Hyaloperonospora arabidopsidis",-0.244366577757857,-0.289194527758051,-0.19973071564021,4.53033724139233e-27,-0.271962589472652,-0.330140197295807,-0.21428602971433,6.11054602032767e-20
"Phytophthora parasitica",0.385107897625122,0.345189286353552,0.424827478749888,1.85034048466685e-72,0.0900503528674779,0.0279090074691798,0.151558904415595,0.00461741329084585
"Phytophthora palmivora",-0.124041209437046,-0.159693339015148,-0.0883814580619994,9.05319373229965e-12,-0.0753597722895153,-0.127568291694315,-0.0247727215105498,0.00396993416012629
"Phytophthora capsici",0.499601658384132,0.458248928192086,0.54076713089254,3.44324902552172e-109,0.0384472862704409,-0.0287247012011771,0.106312822826845,0.250150804774042
"Phytophthora ramorum",-0.0811285442991829,-0.127142534373231,-0.0354819814009228,0.000472731624518642,-0.374745593661893,-0.458995333999335,-0.28997273591452,9.86619406874059e-18
"Phytophthora cinnamomi",0.51287768320087,0.47271124183267,0.552684423696965,6.43080310225545e-122,-0.0543335792762143,-0.117399471038031,0.00940346948964853,0.0937154282892086
"Phytophthora infestans",0.000608675853052777,-0.0471036766818159,0.0474770921410407,0.979176948961737,-0.288555405800595,-0.347928161972694,-0.229093253341572,1.44301963455192e-20
"Phytophthora sojae",0.352361530564136,0.296964190952423,0.407949518055643,1.65867119132429e-35,0.135572741167768,0.0618683673397425,0.209831800504736,0.00031187391716632
"Catenaria anguillulae",0.568991815833316,0.523584006133898,0.614465640752737,2.12308946468877e-120,-0.248745838273154,-0.333564177042014,-0.162720807562863,2.26836610700406e-08
"Allomyces macrogynus",0.456637906741086,0.404755324194962,0.508381600585547,3.58300511941127e-63,-0.338429701371568,-0.401390258905239,-0.275262202745067,1.37258349313934e-23
"Paramicrosporidium saccamoebae",-0.149514997776083,-0.235730648001751,-0.0636266593684119,0.000703402342715554,-0.277636974802884,-0.399064412244354,-0.152689019263195,1.8563861673074e-05
"Rozella allomycis",-0.611864269373289,-0.668292327415513,-0.555279489874044,6.04724344963837e-94,0.00472719235301511,-0.0876653238435745,0.0968326315265543,0.921192267197567
"Basidiobolus meristosporus",-0.213345004131898,-0.252504460266437,-0.17451118988784,1.61387712819821e-26,-0.028730228265705,-0.0788366802379793,0.0216932395774203,0.262067320281091
"Conidiobolus coronatus",-0.269243323200911,-0.329566176307896,-0.209485959715322,9.45753434258528e-19,0.107946481399753,0.0464927119546301,0.167987593552419,0.000618180276325395
"Gonapodya prolifera",-0.15345073623238,-0.194909657762367,-0.112253266222718,3.19185980928619e-13,-0.00337178994714206,-0.071586417334556,0.0675600123751725,0.925143739312181
"Spizellomyces punctatus",-0.191982593946481,-0.246140872634747,-0.138948073310552,1.06731243818765e-12,-0.141576237213393,-0.215289207098347,-0.0660245537962416,0.000238384002472679
