"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Albugo candida",-0.45234539017713,-0.48450795222928,-0.42033230475678,6.94808875972853e-166
"Albugo laibachii",-0.151457691177831,-0.179716852983026,-0.123192699564458,1.57336332302692e-25
"Aphanomyces invadans",0.26266228905798,0.232006838191162,0.293473873396035,1.40837901494695e-63
"Aphanomyces astaci",0.0230528163517083,-0.00262313953795757,0.0486343382771745,0.0786364652684887
"Saprolegnia diclina",0.193639023509129,0.161985128769902,0.22525942590576,2.28680469399749e-32
"Saprolegnia parasitica",-0.0858724988034258,-0.120167854553335,-0.0514947149202569,9.94209408185959e-07
"Phytopythium vexans",0.275483509075995,0.24693203997776,0.304023596553338,1.85532900257463e-77
"Globisporangium ultimum",0.015901925274421,-0.00485285189740371,0.0366850276795778,0.132533431885569
"Pythium irregulare",0.218549596335232,0.191654815159018,0.245492434604398,9.38839256387479e-56
"Pythium arrhenomanes",0.138330237932421,0.109893899692156,0.166749643421296,2.11940242072481e-21
"Pythium iwayamai",0.13062632540152,0.105289578992416,0.156041222660786,7.5265086655737e-24
"Pythium aphanidermatum",-0.107717799766691,-0.140667408645535,-0.0746574679959951,1.76822171733544e-10
"Hyaloperonospora arabidopsidis",-0.180296367623397,-0.207133305262854,-0.153566752022511,9.14191778535822e-40
"Phytophthora parasitica",0.257877085194816,0.233742812789165,0.282016734146956,2.07644040290343e-92
"Phytophthora palmivora",-0.0613321733906005,-0.0827675063945043,-0.0398970463221848,2.09990626824681e-08
"Phytophthora capsici",0.392506944456951,0.365914716037832,0.418899314144723,6.966202041901e-172
"Phytophthora ramorum",-0.249847954476915,-0.280441795359613,-0.219401951738957,1.49869376355644e-58
"Phytophthora cinnamomi",0.290170648710307,0.265419575016896,0.31510337398549,2.25204379870771e-112
"Phytophthora infestans",-0.125402923417637,-0.1519810368596,-0.0988355273226855,2.26696458391766e-20
"Phytophthora sojae",0.286367258402718,0.254832692048391,0.317999207883017,7.34438253687439e-71
"Catenaria anguillulae",0.296309498420159,0.2656174267008,0.327035172012679,7.93718704558026e-79
"Allomyces macrogynus",0.137589212767128,0.108572360762197,0.166692372909767,1.50185942075666e-20
"Paramicrosporidium saccamoebae",-0.142305285116862,-0.193293343008958,-0.0909595264710983,6.30385673847485e-08
"Rozella allomycis",-0.332306925329343,-0.367353830546866,-0.29724705165443,2.04148710652553e-76
"Basidiobolus meristosporus",-0.108258236943871,-0.13060733391439,-0.0859267889633948,3.71202199938705e-21
"Conidiobolus coronatus",-0.114036433905547,-0.145942566897015,-0.0823640994203337,1.57835748054434e-12
"Gonapodya prolifera",-0.050877639748439,-0.077479690271768,-0.024141545004529,0.000185886784914794
"Spizellomyces punctatus",-0.0918545392690115,-0.124094115150358,-0.0597168996820409,1.94862830069033e-08
"Batrachochytrium salamandrivorans",-0.478319345541165,-0.507947597609455,-0.448683480892363,1.2508111429665e-210
"Batrachochytrium dendrobatidis",-0.236978566903854,-0.306609764852172,-0.166457276783954,7.0837528861978e-11
"Rhizoclosmatium globosum",-0.308821443785387,-0.332729921234919,-0.284824215244173,6.65418776124136e-136
"Anaeromyces robustus",-0.47600887899287,-0.501818479062002,-0.45036648133866,2.18275693481358e-278
"Piromyces sp. E2",-0.360957157639002,-0.390531186244152,-0.33136206958053,4.65502587810093e-128
"Piromyces finnis",-0.247991746093168,-0.27673240204872,-0.219452421788694,7.38216850866149e-65
"Neocallimastix californiae",-0.379408422601972,-0.40768417759061,-0.351091680951564,6.44849296214981e-149
"Mortierella elongata",-0.171597374173686,-0.194619865182907,-0.148495696681702,1.61943314230029e-46
"Mortierella verticillata",0.102974927285765,0.0772130164610828,0.128812795148509,4.88779298701409e-15
"Rhizophagus irregularis",-0.430184872692861,-0.454609957900787,-0.405896309872158,2.18569142886636e-261
"Rhizophagus clarus",-0.539861353835309,-0.563999374954406,-0.515791630842796,0
"Bifiguratus adelaidae",-0.253894390467477,-0.292894633867847,-0.215086677272473,9.26517526389355e-38
"Syncephalastrum racemosum",0.0867245080835803,0.0580343068851247,0.115467530279724,3.03378045987363e-09
"Lichtheimia corymbifera",-0.107071216732535,-0.135257153566743,-0.0789556572540761,9.38867847971784e-14
"Lichtheimia ramosa",-0.00972870566188641,-0.0404166797279582,0.0209170630762471,0.531758664125794
