"","p_values","adj_pvalue"
"Albugo candida",0.00584752662995514,0.0601466658049556
"Albugo laibachii",0.280119211895729,0.531935815347575
"Aphanomyces invadans",0.211691486321544,0.47759693714235
"Aphanomyces astaci",0.742208100115771,0.883436244839441
"Saprolegnia diclina",0.181174754286364,0.458356643322767
"Saprolegnia parasitica",0.600965803716917,0.806738675284387
"Phytopythium vexans",0.030473255444251,0.143175930341243
"Globisporangium ultimum",0.427946820542004,0.676745090472654
"Pythium irregulare",0.0959492786629006,0.298957752465459
"Pythium arrhenomanes",0.215402672663864,0.47759693714235
"Pythium iwayamai",0.192964542870976,0.46495221995758
"Pythium aphanidermatum",0.180353550857909,0.458356643322767
"Hyaloperonospora arabidopsidis",0.119604991167243,0.338785429526354
"Phytophthora parasitica",0.0147433452792572,0.0878911824992937
"Phytophthora palmivora",0.341348580146129,0.59260515966718
"Phytophthora capsici",0.00612361543402535,0.0614437345244577
"Phytophthora ramorum",0.305552110754587,0.549808053394273
"Phytophthora cinnamomi",0.0113451880558458,0.0768725399854129
"Phytophthora infestans",0.599212939729488,0.806738675284387
"Phytophthora sojae",0.112585090903455,0.323545503955561
"Catenaria anguillulae",0.0365470455840773,0.157589237041205
"Allomyces macrogynus",0.200835692638608,0.473684183434485
"Paramicrosporidium saccamoebae",0.327466367330885,0.578686834208608
"Rozella allomycis",0.0136498333778009,0.0841739724964389
"Basidiobolus meristosporus",0.15735492864537,0.417731469767081
"Conidiobolus coronatus",0.62217817970927,0.820332922912891
"Gonapodya prolifera",0.397752868135144,0.650468778828744
"Spizellomyces punctatus",0.253011566823761,0.523716250208625
"Batrachochytrium salamandrivorans",0.0129001802912715,0.0838788966092062
"Batrachochytrium dendrobatidis",0.195562673597023,0.46495221995758
"Rhizoclosmatium globosum",0.00325331004017307,0.0391510443313054
"Anaeromyces robustus",0.000253631958434114,0.00955338160044431
"Piromyces sp. E2",0.0155864209980204,0.0904623650081184
"Piromyces finnis",0.0721127549887919,0.260910101417966
"Neocallimastix californiae",0.00626601549577849,0.0618246862250144
"Mortierella elongata",0.0575346067557368,0.221171994801274
"Mortierella verticillata",0.870853183537009,0.942495584376434
"Rhizophagus irregularis",0.000588723760079907,0.0144689654833699
"Rhizophagus clarus",2.12921342347878e-05,0.00315123586674859
"Bifiguratus adelaidae",0.136650936797631,0.371088782496319
"Syncephalastrum racemosum",0.751753692868905,0.885731907004914
"Lichtheimia corymbifera",0.106986833351743,0.313545571011048
"Lichtheimia ramosa",0.691378433597301,0.862681218172904
"Phycomyces blakesleeanus",0.0142370698365101,0.0860035239103465
"Hesseltinella vesiculosa",0.278998387621625,0.531935815347575
"Absidia glauca",0.245760311764258,0.514099309414985
"Absidia repens",0.811732901469393,0.910592620607614
"Choanephora cucurbitarum",0.00575802188320931,0.0601466658049556
"Mucor ambiguus",0.270141635465146,0.531147081440864
"Mucor circinelloides",0.13336026020875,0.36892184132514
"Rhizopus microsporus",0.271238062960872,0.531147081440864
"Rhizopus delemar",0.0471527497984527,0.188321145348268
"Trachipleistophora hominis",0.67841358635675,0.858164194707684
"Vavraia culicis",0.561250851454027,0.789217349313026
"Anncaliia algerae",0.00589274766332335,0.0601466658049556
"Amphiamblys sp. WSBS2006",0.413405511086384,0.666201680885163
"Ordospora colligata",0.734600170705216,0.883436244839441
"Pseudoloma neurophilia",0.0984908803514549,0.302120166998418
"Nematocida parisii",0.422094891020866,0.66992004151301
