"","Median","low-CI","high-CI","p-value"
"Albugo candida",-0.570355879338811,-0.626419910133701,-0.515066450004805,3.93909283170651e-88
"Albugo laibachii",-0.0974592719431068,-0.146613465055862,-0.0483379411094193,0.000101054906787081
"Aphanomyces invadans",0.205828335109842,0.154742659732313,0.256707292890333,1.77839218798863e-15
"Aphanomyces astaci",0.210713612988722,0.170272670698879,0.250766998332783,1.48288732777208e-23
"Saprolegnia diclina",0.245177024110079,0.192331812584255,0.297068614940328,3.8525339759782e-19
"Saprolegnia parasitica",0.182834638926046,0.122527223236493,0.243397870845548,2.39589833331257e-09
"Phytopythium vexans",0.448769611724022,0.402928104714426,0.494582835433155,2.20141823232348e-76
"Globisporangium ultimum",0.159151496565555,0.122979714636447,0.19508283384773,2.81404519530172e-17
"Pythium irregulare",0.309067988658494,0.263150623595737,0.355416489020198,3.3073267237574e-38
"Pythium arrhenomanes",0.379858349928478,0.331581507176763,0.42848096963187,1.08396138021768e-50
"Pythium iwayamai",0.293233502001887,0.250419044846711,0.336246737661467,2.05579540239675e-39
"Pythium aphanidermatum",-0.320075679844261,-0.373489325019517,-0.266260821976389,9.72542571334914e-30
"Hyaloperonospora arabidopsidis",-0.244366577757857,-0.289194527758051,-0.19973071564021,4.53033724139233e-27
"Phytophthora parasitica",0.385107897625122,0.345189286353552,0.424827478749888,1.85034048466685e-72
"Phytophthora palmivora",-0.124041209437046,-0.159693339015148,-0.0883814580619994,9.05319373229965e-12
"Phytophthora capsici",0.499601658384132,0.458248928192086,0.54076713089254,3.44324902552172e-109
"Phytophthora ramorum",-0.0811285442991829,-0.127142534373231,-0.0354819814009228,0.000472731624518642
"Phytophthora cinnamomi",0.51287768320087,0.47271124183267,0.552684423696965,6.43080310225545e-122
"Phytophthora infestans",0.000608675853052777,-0.0471036766818159,0.0474770921410407,0.979176948961737
"Phytophthora sojae",0.352361530564136,0.296964190952423,0.407949518055643,1.65867119132429e-35
"Catenaria anguillulae",0.568991815833316,0.523584006133898,0.614465640752737,2.12308946468877e-120
"Allomyces macrogynus",0.456637906741086,0.404755324194962,0.508381600585547,3.58300511941127e-63
"Paramicrosporidium saccamoebae",-0.149514997776083,-0.235730648001751,-0.0636266593684119,0.000703402342715554
"Rozella allomycis",-0.611864269373289,-0.668292327415513,-0.555279489874044,6.04724344963837e-94
"Basidiobolus meristosporus",-0.213345004131898,-0.252504460266437,-0.17451118988784,1.61387712819821e-26
"Conidiobolus coronatus",-0.269243323200911,-0.329566176307896,-0.209485959715322,9.45753434258528e-19
"Gonapodya prolifera",-0.15345073623238,-0.194909657762367,-0.112253266222718,3.19185980928619e-13
"Spizellomyces punctatus",-0.191982593946481,-0.246140872634747,-0.138948073310552,1.06731243818765e-12
"Batrachochytrium salamandrivorans",-0.407022788665874,-0.452606983408231,-0.361801514866634,3.14988880585122e-68
"Batrachochytrium dendrobatidis",-0.654087434486075,-0.768446528581783,-0.544103013721877,4.29389423478538e-33
"Rhizoclosmatium globosum",-0.353113497931502,-0.394625965239068,-0.311959565567302,4.22715568954601e-60
"Anaeromyces robustus",-0.697982403704648,-0.74663082832572,-0.649374392708907,7.72237877525831e-172
"Piromyces sp. E2",-0.688897460978883,-0.746237559197933,-0.632200827046886,4.77216593442265e-128
"Piromyces finnis",-0.565576184552211,-0.61864043673164,-0.513095054745669,3.45846107486509e-98
"Neocallimastix californiae",-0.663145948925862,-0.713126197896297,-0.614089588228374,3.08980177310473e-142
"Mortierella elongata",-0.285221095701558,-0.325602491582747,-0.245291449875273,3.61660319669197e-41
"Mortierella verticillata",0.0781220504167654,0.0373712283442394,0.119105516345859,0.000172972773797915
"Rhizophagus irregularis",-0.728144262563417,-0.772714936270286,-0.684187365321531,4.79090120421283e-229
"Rhizophagus clarus",-0.651774666148773,-0.696107653763258,-0.607882238584134,1.54403893476885e-179
"Bifiguratus adelaidae",-0.196965628754571,-0.261750671234458,-0.132861807428826,2.15549187360808e-09
