"","Median","low-CI","high-CI","p-value"
"Albugo candida",-0.275749473012911,-0.352415974674118,-0.199920807577939,2.24817796934948e-12
"Albugo laibachii",-0.245261074908065,-0.311495806603633,-0.179768699490844,1.40879896684178e-12
"Aphanomyces invadans",0.236689211786796,0.160547539155786,0.313408029389358,6.8514921519479e-10
"Aphanomyces astaci",-0.349352586802515,-0.414703129731884,-0.282475393456162,3.70037883722373e-22
"Saprolegnia diclina",0.0465396406680261,-0.033022580530581,0.126325590953639,0.2535505663894
"Saprolegnia parasitica",-0.534969593423879,-0.620750557364002,-0.449958514900668,1.47044575171378e-34
"Phytopythium vexans",-0.0912684622434951,-0.166703730476094,-0.0177008268949934,0.0142518505376297
"Globisporangium ultimum",-0.156511246632654,-0.203382346224429,-0.109228101766014,1.95989114173919e-10
"Pythium irregulare",0.0748057184583128,0.00757974186913475,0.141444430792346,0.028990183063648
"Pythium arrhenomanes",-0.297434832427568,-0.363623195353849,-0.232097803877507,5.18609029484177e-18
"Pythium iwayamai",-0.0507803461518476,-0.115847216000066,0.0138442021740182,0.122202306576464
"Pythium aphanidermatum",0.179425533462151,0.092219142950099,0.266638089126814,5.6438693846973e-05
"Hyaloperonospora arabidopsidis",-0.271962589472652,-0.330140197295807,-0.21428602971433,6.11054602032767e-20
"Phytophthora parasitica",0.0900503528674779,0.0279090074691798,0.151558904415595,0.00461741329084585
"Phytophthora palmivora",-0.0753597722895153,-0.127568291694315,-0.0247727215105498,0.00396993416012629
"Phytophthora capsici",0.0384472862704409,-0.0287247012011771,0.106312822826845,0.250150804774042
"Phytophthora ramorum",-0.374745593661893,-0.458995333999335,-0.28997273591452,9.86619406874059e-18
"Phytophthora cinnamomi",-0.0543335792762143,-0.117399471038031,0.00940346948964853,0.0937154282892086
"Phytophthora infestans",-0.288555405800595,-0.347928161972694,-0.229093253341572,1.44301963455192e-20
"Phytophthora sojae",0.135572741167768,0.0618683673397425,0.209831800504736,0.00031187391716632
"Catenaria anguillulae",-0.248745838273154,-0.333564177042014,-0.162720807562863,2.26836610700406e-08
"Allomyces macrogynus",-0.338429701371568,-0.401390258905239,-0.275262202745067,1.37258349313934e-23
"Paramicrosporidium saccamoebae",-0.277636974802884,-0.399064412244354,-0.152689019263195,1.8563861673074e-05
"Rozella allomycis",0.00472719235301511,-0.0876653238435745,0.0968326315265543,0.921192267197567
"Basidiobolus meristosporus",-0.028730228265705,-0.0788366802379793,0.0216932395774203,0.262067320281091
"Conidiobolus coronatus",0.107946481399753,0.0464927119546301,0.167987593552419,0.000618180276325395
"Gonapodya prolifera",-0.00337178994714206,-0.071586417334556,0.0675600123751725,0.925143739312181
"Spizellomyces punctatus",-0.141576237213393,-0.215289207098347,-0.0660245537962416,0.000238384002472679
"Batrachochytrium salamandrivorans",-0.371859634777469,-0.450270139329207,-0.292972663641696,4.70433982989156e-20
