"","Median","low-CI","high-CI","p-value"
"Albugo candida",0.805740685389339,0.611944217277855,0.998631111084342,9.83550609509995e-16
"Albugo laibachii",0.272529018572491,0.151400692832531,0.399975744040228,1.31914900751381e-05
"Aphanomyces invadans",0.277191006559651,0.164138555669988,0.387297705006558,1.94976351258859e-06
"Aphanomyces astaci",-0.0821458512451239,-0.178464177062272,0.018865753559165,0.115686648622746
"Saprolegnia diclina",0.513721491817253,0.365983252447141,0.661655188084983,6.10774838329344e-11
"Saprolegnia parasitica",-0.0742272807506646,-0.184278405888371,0.0356562824765795,0.18977406810799
"Phytopythium vexans",0.316215049096502,0.214366244775653,0.419803947164271,1.27731993160809e-09
"Globisporangium ultimum",0.472034340755187,0.368022653249926,0.574192224517942,8.23839040684275e-19
"Pythium irregulare",0.41818477432398,0.274635631169158,0.565848130878515,8.25720151228043e-09
"Pythium arrhenomanes",0.372361410525921,0.223827340775343,0.526299934722342,5.51423727683335e-07
"Pythium iwayamai",-0.669231010550358,-0.790823581800587,-0.54737341602561,4.23827804211709e-24
"Pythium aphanidermatum",-0.42606936263326,-0.549174264903324,-0.299240113116312,2.04726437480007e-10
"Hyaloperonospora arabidopsidis",0.28224393460773,0.121540404034957,0.441367743558986,0.00031033432627602
"Phytophthora parasitica",0.238387984043748,0.146192230110229,0.333678186064008,6.90771153842343e-07
"Phytophthora palmivora",0.157757014068871,0.0428065283104243,0.279273840670665,0.00712969215004953
"Phytophthora capsici",0.409687517447168,0.314252333197041,0.505077882808596,7.57517604322297e-16
"Phytophthora ramorum",-0.33690552537625,-0.454552741249794,-0.221333572577286,1.90297430182006e-08
"Phytophthora cinnamomi",0.174777067706464,0.0564727075462039,0.29337018009988,0.00390634505615317
"Phytophthora infestans",-0.0405468426758543,-0.142161775835018,0.0627091546091339,0.428915287071154
"Phytophthora sojae",-0.0357065897751958,-0.153353571144503,0.0828536065236149,0.572264174695221
"Catenaria anguillulae",0.414948298225847,0.2752047652758,0.554696799834584,1.19619074062354e-08
"Allomyces macrogynus",-0.043719167360059,-0.168135625037692,0.0821434381142042,0.490271859069294
"Paramicrosporidium saccamoebae",0.499993085855288,0.24724942815683,0.749570823472266,9.94865521164993e-05
"Rozella allomycis",1.20664734054486,0.955355829160017,1.46191607047278,2.55705827041911e-20
"Basidiobolus meristosporus",-0.0436234453480431,-0.162313949100901,0.0750670009396255,0.472590200795728
"Conidiobolus coronatus",1.14180190816229,0.990925469640789,1.29452236754633,4.92948422457617e-39
"Gonapodya prolifera",0.245539751539659,0.153134901966019,0.335379759848168,2.01755485735687e-07
"Spizellomyces punctatus",0.0101623203159724,-0.137820302076306,0.156420166096194,0.892003187467618
"Batrachochytrium salamandrivorans",0.165483009104008,0.0157175652952021,0.314731038846695,0.0303444926919341
"Batrachochytrium dendrobatidis",0.706204312766735,0.262855245116219,1.34172791824707,1.44607879015283e-10
"Rhizoclosmatium globosum",0.0445262765538914,-0.0599949881912435,0.151339451463057,0.405027424954057
"Anaeromyces robustus",0.762112672180353,0.616853234581842,0.912957025811305,5.99168681884483e-23
"Piromyces sp. E2",1.10910982167225,0.970882068589137,1.25484796425008,6.17054785438714e-41
"Piromyces finnis",0.335469483272633,0.176359169167849,0.500533538659848,3.64469349977754e-05
"Neocallimastix californiae",0.447003298321271,0.318514234577679,0.575335680303323,3.23284210903227e-10
"Mortierella elongata",0.316880136541913,0.203151928034666,0.430156127753119,4.38089806382753e-08
"Mortierella verticillata",-0.0655792234323011,-0.156537170018783,0.0295779232882473,0.171473193583412
"Rhizophagus irregularis",0.43516059801509,0.34244093564205,0.526814857815797,5.3258730209672e-19
"Rhizophagus clarus",0.579729598438937,0.46948938912554,0.689347900368247,1.19343713938978e-21
"Bifiguratus adelaidae",0.0515229455265648,-0.0771403700327153,0.181395347931797,0.417266064542114
"Syncephalastrum racemosum",-0.298481936235216,-0.440815624016803,-0.156962514917156,3.2513069755636e-05
"Lichtheimia corymbifera",0.342149998780673,0.17087773137441,0.507727752263666,9.82501352202251e-05
"Lichtheimia ramosa",0.00727577456178681,-0.113663079242076,0.127965305334462,0.90902593881605
"Phycomyces blakesleeanus",0.321716072375172,0.182340956474269,0.471146709129659,1.51821633694455e-05
"Hesseltinella vesiculosa",-0.514189385161009,-0.688744403473108,-0.333912845493467,8.72091268441781e-08
"Absidia glauca",0.329895660289206,0.201525767689559,0.462195352253549,3.62396678334505e-07
"Absidia repens",0.196239318190252,0.0853207602378614,0.309039563899252,0.000557867859303424
"Choanephora cucurbitarum",0.221388732966264,0.0122400498086108,0.438103241816024,0.0367143195683121
"Mucor ambiguus",-0.402771275151058,-0.522943144234351,-0.282478144205432,2.65347319224111e-10
"Mucor circinelloides",0.109804454553453,-0.0143786150758753,0.231207583163391,0.0808131894933536
"Rhizopus microsporus",0.135727153117534,0.0645644734183432,0.232981419012452,0.000222759490279244
"Rhizopus delemar",0.681053424658664,0.551630577516669,0.818730973246331,4.78396446380699e-24
"Trachipleistophora hominis",0.812645021657846,0.569602171009437,1.0514179723146,5.52649575280801e-10
"Vavraia culicis",0.302670343835309,0.0277282112823755,0.624510534537675,0.0310257134767182
"Anncaliia algerae",1.73432671011581,1.50667353102932,1.98918738607823,1.24751849604174e-54
"Amphiamblys sp. WSBS2006",0.887475918439293,0.600289760454335,1.16593155377448,5.27103997630675e-09
"Ordospora colligata",0.682775991706029,0.225463686601824,1.11232292078651,0.000507674147171741
"Pseudoloma neurophilia",0.908427555329595,0.647976560965469,1.17794953976376,1.1453067806471e-13
"Nematocida parisii",0,0,0,1
"Nematocida displodere",0.198423387259119,0.113242414378776,0.378177579356286,5.94835598305444e-07
"Nematocida sp. 1",2.28177246747664,1.80969676613556,2.66815141397308,4.57266191096154e-21
"Nematocida sp. ERTm5",2.18240059321287,1.80818958588779,2.54070866890461,1.06527090050345e-26
"Edhazardia aedis",0.190630974037595,0.0835763814189306,0.297396185610909,0.000530042353471066
"Spraguea lophii",0.289888543535446,-0.00176573258555506,0.58957210326942,0.051309295270807
"Encephalitozoon intestinalis",0.398743890265969,0.230806274076334,0.801713568909468,7.47289122039772e-17
"Encephalitozoon cuniculi",-0.0186512317841523,-0.0398906599398142,0.00329356153673866,0.0952120552697643
"Encephalitozoon hellem",-0.027593700375361,-0.102670208598882,0.0331427704396186,0.38541486523677
"Encephalitozoon romaleae",1.12532050774315,0.76768138366407,1.46880887183485,1.05833750970448e-10
"Vittaforma corneae",-0.49462170138442,-0.800921122684773,-0.118672255177825,0.000979384377369113
"Nosema apis",0.714755497790942,0.519328687084403,0.916223067552581,1.85447540486577e-12
"Nosema ceranae",1.4668014867968,1.21376052641293,1.71045654871706,1.34076365030147e-25
"Nosema bombycis",1.49828381947556,1.27965930567181,1.7300083446086,7.93047246432454e-34
"Enterospora canceri",0.484932754197475,0.187778005298832,0.802228659719002,0.00156620058034183
"Hepatospora eriocheir",1.01005858521521,0.784947378490544,1.22770803266687,6.36611050840892e-16
"Enterocytozoon hepatopenaei",2.56833470783661,2.30871037288578,2.73717722217955,4.37835911757561e-30
"Enterocytozoon bieneusi",0.52221795590857,0.367467138358666,0.67401610309286,1.48368833897774e-11
"Wallemia mellicola",0.740620553533464,0.510606886633658,0.970489374298845,1.42022319573014e-11
"Wallemia ichthyophaga",1.21362467733939,0.843864322681029,1.6221660947913,1.04950585977083e-12
"Mixia osmundae",-0.00059701514785275,-0.147080583189792,0.152521744276181,0.992191659497438
"Microbotryum intermedium",-0.0204968676844034,-0.178333903284729,0.148698897134469,0.80501123880972
"Leucosporidium creatinivorum",0.0701257975473348,-0.0695859519684462,0.213200956176355,0.326462133300231
"Rhodotorula taiwanensis",0.363835539863826,0.247127878937236,0.477566507470692,1.69673142769495e-09
"Rhodotorula graminis",-0.024637187031435,-0.148585573362991,0.102968626826428,0.711312762722155
"Rhodotorula toruloides",-0.157034496979299,-0.28730180376037,-0.0292427005952879,0.0149641838684188
"Rhodotorula sp. JG-1b",-0.0331679716474203,-0.192637712165364,0.129294797778402,0.691083279416253
"Puccinia coronata",0.421052254551638,0.329243210730426,0.513305883462116,1.19693152623872e-17
"Puccinia striiformis",0.21118668273148,0.104328843808054,0.31816160759297,0.000109671989795087
"Puccinia graminis",0.0427403601564451,-0.0616885110803612,0.143241205720338,0.420597956534779
"Puccinia sorghi",1.0728807114444,0.972387586196985,1.17423607861195,1.86012369057096e-57
"Malassezia globosa",0.548148951407295,0.345627602590286,0.754872804838516,1.22089450829917e-07
"Malassezia restricta",-0.192157778511964,-0.387183622936061,0.0104418189365995,0.062441310844552
"Malassezia sympodialis",1.10155404548439,0.902647191329143,1.31089965464409,2.21919365581897e-27
"Malassezia vespertilionis",-0.590077893287711,-0.726456085672735,-0.45883286146568,8.94017176586995e-17
"Tilletiaria anomala",0.536139107410563,0.395373263691942,0.679571401861393,3.443334284065e-15
"Ceraceosorus bombacis",0.070077964298419,-0.0670391214986086,0.206030341524329,0.319176621441952
"Tilletia controversa",0.00313256810763774,-0.0257837946827044,0.0332904671585258,0.81205978210188
"Tilletia walkeri",-0.401730712857041,-0.687059276439441,-0.115648392347047,0.00607594179190003
