"","Median","low-CI","high-CI","p-value"
"Albugo candida",-0.0516546080865831,-0.0698428656926785,-0.0335182339167842,2.44358696482423e-08
"Albugo laibachii",0.117183247800948,0.0949124333944456,0.139420975340219,1.10272858503155e-24
"Aphanomyces invadans",0.154175390061699,0.133543862378935,0.174771884292261,3.76929857278799e-48
"Aphanomyces astaci",0.0433595327640593,0.0270998264136435,0.0597141362877397,1.79386219365433e-07
"Saprolegnia diclina",0.184907901117105,0.163564217357077,0.206213882855766,4.51727405730248e-64
"Saprolegnia parasitica",0.309796909959888,0.29096705703868,0.328633538441123,3.48092918897291e-222
"Phytopythium vexans",0.340774416972429,0.319281802123771,0.362250509894743,1.20264030092877e-207
"Globisporangium ultimum",0.248722632371094,0.23490191970094,0.262600812153253,2.47411038615372e-267
"Pythium irregulare",0.113653688138182,0.0937009710265465,0.133650049131605,9.74852539741738e-29
"Pythium arrhenomanes",0.2507915279326,0.231610725248395,0.270016553785843,2.3018074031087e-141
"Pythium iwayamai",0.191972997693581,0.169622730744986,0.214354421444985,5.26528943953573e-63
"Pythium aphanidermatum",0.0445207836165814,0.0243576466087096,0.0646714558818069,1.52121818343906e-05
"Hyaloperonospora arabidopsidis",0.170329028888209,0.153110631984621,0.187546163735774,3.71800408498431e-83
"Phytophthora parasitica",0.164801045072054,0.149509792302243,0.180029267452339,1.32239980747719e-97
"Phytophthora palmivora",0.172059333695437,0.156810695648484,0.187276143396488,1.06800212804038e-106
"Phytophthora capsici",0.365014344686847,0.345998353963976,0.384011719359032,1.34113362442756e-297
"Phytophthora ramorum",0.0518164860372723,0.0277305622576399,0.075859012368853,2.46393605695062e-05
"Phytophthora cinnamomi",0.0796091562244052,0.0601904864149755,0.0990372343635351,9.40906521495958e-16
"Phytophthora infestans",0.0330418800574285,0.016412092182019,0.049653492910543,0.000101425240040373
"Phytophthora sojae",0.30345201525799,0.286438582553954,0.320451892682879,4.70241157826235e-257
"Catenaria anguillulae",0.322735622088211,0.297722148847658,0.347730323481735,1.01844238711669e-136
"Allomyces macrogynus",0.359435799458254,0.33990705400906,0.37897172628786,1.33587543601574e-266
"Paramicrosporidium saccamoebae",0.293524818909514,0.255424593161006,0.331588678076188,1.28429943303442e-50
"Rozella allomycis",-0.0769227852980091,-0.102356156526501,-0.0515418187056819,2.72985396198659e-09
"Basidiobolus meristosporus",0.0155109923318122,-0.00513066389896528,0.036100255862103,0.140487118941476
"Conidiobolus coronatus",0.336106462282268,0.316490243515631,0.355738363223834,9.76836255574286e-240
"Gonapodya prolifera",0.202254307799153,0.182478004721278,0.222081878422482,1.59205200712779e-88
"Spizellomyces punctatus",-0.218379891574995,-0.248345076586853,-0.188469750546318,1.26416831453108e-46
"Batrachochytrium salamandrivorans",0.0976945415781392,0.0795983230203847,0.115752559948182,5.01783031882356e-26
"Batrachochytrium dendrobatidis",0.299205635910354,0.259961378187922,0.339164271717226,4.16512066098667e-60
"Rhizoclosmatium globosum",-0.00537228331630692,-0.0221048685975885,0.0113807531083999,0.530223276536772
"Anaeromyces robustus",0.169649218090641,0.154355248902829,0.18500750508678,3.7309977867812e-103
"Piromyces sp. E2",-0.0528457617429651,-0.0685726278367519,-0.0370981802730575,5.00625746994489e-11
"Piromyces finnis",0.155611896755852,0.140221893381275,0.171004145192606,1.73388361554931e-86
"Neocallimastix californiae",0.0549782825504514,0.0416140682686216,0.0683541754083236,7.68885825019429e-16
"Mortierella elongata",0.0672070713643287,0.0499722089046227,0.084372067877291,2.32184448473635e-14
"Mortierella verticillata",0.0800414695339586,0.0616281623423285,0.098417404434307,1.5962633934548e-17
"Rhizophagus irregularis",-0.36658626983768,-0.381190821774724,-0.351953681199647,0
"Rhizophagus clarus",0.10080870143836,0.0891928719584147,0.112419548260788,1.91020839974041e-64
"Bifiguratus adelaidae",0.138755868139178,0.107658089158994,0.17000828609833,2.41533149203546e-18
"Syncephalastrum racemosum",0.140469860265437,0.112059344225849,0.168878823753942,4.54270459786873e-22
"Lichtheimia corymbifera",0.348831461104552,0.322452721096516,0.375211241084587,7.29162399528142e-147
"Lichtheimia ramosa",-0.0222147352022256,-0.03747139015299,-0.00697110137636862,0.00425968745317791
"Phycomyces blakesleeanus",-0.00553169711817497,-0.0231391774704126,0.0121022215882131,0.538277126577335
"Hesseltinella vesiculosa",0.184443562554151,0.161148104977897,0.207669091657549,5.37762240751245e-54
"Absidia glauca",0.119883009155601,0.100424156592124,0.139325336884618,2.73814893442863e-33
"Absidia repens",0.195525271066226,0.179479428750762,0.211506560927409,2.37216429943933e-123
"Choanephora cucurbitarum",0.105490987963078,0.0889942512891463,0.121946262397402,9.1273790529518e-36
"Mucor ambiguus",0.00834138668114681,-0.00910681583671666,0.0257284223557877,0.3498380217651
"Mucor circinelloides",0.0758372227201996,0.0599821317285284,0.0916697050339669,7.1381801433358e-21
"Rhizopus microsporus",0.0478228338784036,0.0371110942118246,0.0586618287592448,1.61465567023814e-18
"Rhizopus delemar",0.0482643703658818,0.0306842527377839,0.0658783465785775,7.52598031330094e-08
"Trachipleistophora hominis",0.250154649540625,0.219754689859826,0.280532484789312,6.42933914268522e-58
"Vavraia culicis",-0.0478496012362113,-0.0981433995091825,0.0022917728192668,0.0613526311127532
"Anncaliia algerae",0.0713525224588723,0.0519791905795742,0.0907359625030412,5.33098266959416e-13
"Amphiamblys sp. WSBS2006",0.203748559430896,0.159863560144074,0.24762438490654,1.76375294219459e-19
"Ordospora colligata",-0.23229646487159,-0.284439014456092,-0.18196445428853,3.67438892688518e-22
"Pseudoloma neurophilia",0.270412663385707,0.239807421957733,0.301072413375219,8.87572459164982e-67
"Nematocida parisii",-0.00979913859957385,-0.0128028571955301,-0.00678667613834251,1.63710661206685e-10
"Nematocida displodere",0.0728097654221068,0.0366580735456135,0.110519420995336,6.53833794312061e-05
"Nematocida sp. 1",-0.459884221367569,-0.514160271922345,-0.405312464554036,1.2461282585875e-62
"Nematocida sp. ERTm5",0.0622823264289571,0.0245974508370351,0.100940349307686,0.00113986624883425
"Edhazardia aedis",0.163365691930192,0.150536570779172,0.17618174510745,1.09568916469419e-135
"Spraguea lophii",-0.0404602505131859,-0.0729717451357674,-0.00795887394651348,0.0146572436814183
"Encephalitozoon intestinalis",-0.0915505925272669,-0.101801610953128,-0.0818178285918543,2.31359558630985e-104
"Encephalitozoon cuniculi",0.0175270798108364,0.0123468903701224,0.0226878426730322,3.96040277445688e-11
"Encephalitozoon hellem",-0.0112088271847249,-0.0203421104167028,-0.0022319381296685,0.0142819685389179
"Encephalitozoon romaleae",-0.066011097357065,-0.0918807079479461,-0.0419806235898272,1.95760480646129e-08
"Vittaforma corneae",0.238562984225916,0.184017466169678,0.297483428651091,4.82197907793483e-23
"Nosema apis",-0.173980202293142,-0.199533740397645,-0.14856843622102,2.92323951136675e-41
"Nosema ceranae",0.00373995269201648,-0.0217376557780878,0.0292359007642331,0.774314070544796
"Nosema bombycis",0.0438543104950904,0.0200142186691542,0.0677356185975985,0.000309866668767482
"Enterospora canceri",-0.0493087370911749,-0.0981761834908155,-0.00152727855725873,0.0431281199737516
"Hepatospora eriocheir",0.0454659185280532,0.0127979487609566,0.0780113731698926,0.00637016420357224
"Enterocytozoon hepatopenaei",-0.0054166076374236,-0.0477967569655783,0.0368502617129019,0.801527747325043
"Enterocytozoon bieneusi",0.316060767019983,0.295010060349172,0.337127006583482,6.87506926450244e-187
"Wallemia mellicola",-0.123466265915997,-0.154277635915078,-0.0927021407016012,3.41502927730972e-15
"Wallemia ichthyophaga",-0.0410662367327276,-0.0731764178877291,-0.00909662714104055,0.011780746739917
"Mixia osmundae",0.248487774880108,0.21751812849281,0.279475728459327,1.0227664174613e-54
"Microbotryum intermedium",0.190641471917122,0.164372653365405,0.216884764110975,7.58093709798253e-46
"Leucosporidium creatinivorum",0.0510132216135044,0.022836294522987,0.079237293729423,0.000387038808758876
"Rhodotorula taiwanensis",0.448809700702691,0.416895061389846,0.480800510287044,1.46383921859656e-163
"Rhodotorula graminis",0.304661793464209,0.281113842833677,0.328193163019688,1.15419940563178e-137
"Rhodotorula toruloides",0.226979595417836,0.206804870794516,0.247181315849634,1.19619636077906e-107
"Rhodotorula sp. JG-1b",0.101131820812294,0.0721857981048998,0.13006223683858,7.75255547527773e-12
"Puccinia coronata",0.123866878442992,0.111127385883078,0.136621397616633,1.44164438430553e-80
"Puccinia striiformis",0.100716517816975,0.0855819026946031,0.115822953119793,7.56704966810852e-39
