"","Median","low-CI","high-CI","p-value"
"Albugo candida",-0.837355681258278,-0.914785086971346,-0.760102196639103,3.72499821926069e-87
"Albugo laibachii",-0.0230203893472971,-0.0497706689555887,0.00334224808589891,0.0870487313756405
"Aphanomyces invadans",-0.559331420271759,-0.636159932748311,-0.483226679463177,5.5757175881882e-46
"Aphanomyces astaci",-0.335159169542924,-0.402096768431242,-0.26797937771828,5.17838124405765e-23
"Saprolegnia diclina",-0.4591455036945,-0.536259607298277,-0.382545571837678,2.8037794703582e-31
"Saprolegnia parasitica",-0.330376154741466,-0.405066295253448,-0.255442801286748,1.09446154330389e-17
"Phytopythium vexans",0.00652820755888451,-0.0754654714017739,0.0872744985566449,0.876675287692192
"Globisporangium ultimum",-0.340752731548241,-0.402551861714311,-0.279252295722834,9.90372801113488e-27
"Pythium irregulare",-0.392247709561657,-0.469629165650674,-0.316126962841001,4.44147232213453e-23
"Pythium arrhenomanes",-0.379370618642051,-0.453751830460964,-0.305376853535005,6.3967947878439e-24
"Pythium iwayamai",-0.234344883510723,-0.28300831907244,-0.186043492140501,5.45144585844462e-21
"Pythium aphanidermatum",-0.483827218068258,-0.572170702743641,-0.396538465698048,3.05519859022286e-27
"Hyaloperonospora arabidopsidis",-0.470712041858824,-0.52308317274801,-0.418492519796589,6.80678601512455e-62
"Phytophthora parasitica",-0.514050897735062,-0.579529197511519,-0.448354890448299,4.0856052783121e-50
"Phytophthora palmivora",0.00899845753880811,-0.0356192501512474,0.0533421419209586,0.689846295710529
"Phytophthora capsici",0.295318935087003,0.218780189003473,0.370909998047675,9.70671106636836e-14
"Phytophthora ramorum",-0.507823341834167,-0.598736050609914,-0.418231365362865,1.92085928495924e-28
"Phytophthora cinnamomi",-0.353322087767399,-0.428393841898304,-0.279525055510694,1.64931646475976e-20
"Phytophthora infestans",-0.697056640353132,-0.757188052702207,-0.637128649782583,1.77126351537175e-99
"Phytophthora sojae",-0.559427891462664,-0.642446994804243,-0.477375459173676,4.12366581848672e-39
"Catenaria anguillulae",-0.0707551863695822,-0.156842787380797,0.0137718062918472,0.101574672648919
"Allomyces macrogynus",-0.228197670052711,-0.301477273262386,-0.155209687062913,7.14840235380994e-10
"Paramicrosporidium saccamoebae",-0.624521277009404,-0.756449205704263,-0.495799481178213,3.92261595064751e-21
"Rozella allomycis",-0.670846873711974,-0.761304270484169,-0.579617249059853,4.98978739628023e-44
"Basidiobolus meristosporus",-0.264617769981679,-0.32632907759866,-0.204090682890209,6.62311271475808e-17
"Conidiobolus coronatus",-0.286272648222903,-0.361711680362226,-0.210397844911506,1.99561421482171e-13
"Gonapodya prolifera",-0.337667680666691,-0.415469498275248,-0.260025845319721,1.56376715486311e-17
"Spizellomyces punctatus",-0.572469001544893,-0.665965815829725,-0.479883977635395,1.73496956528729e-32
"Batrachochytrium salamandrivorans",-0.604463862266631,-0.677658790371624,-0.530724893178235,3.10070899376873e-54
"Batrachochytrium dendrobatidis",-0.277098659436265,-0.430829621770469,-0.128168596386921,0.000216289614949735
"Rhizoclosmatium globosum",-0.131826373081275,-0.193814411785719,-0.0701700056034548,3.15836436962473e-05
"Anaeromyces robustus",-0.294044212805049,-0.341562179091989,-0.246567423177216,6.91370705197377e-33
"Piromyces sp. E2",-0.510776627027588,-0.577181801677255,-0.444058204272964,3.05537436567038e-47
"Piromyces finnis",0.116939615374373,0.0612462936158108,0.172524505149317,3.63462984254652e-05
"Neocallimastix californiae",-0.230734613302464,-0.286707466140353,-0.174859466342742,7.01709849439007e-16
"Mortierella elongata",-0.0229610622804179,-0.0848144311303574,0.0392436627930783,0.464012354091903
"Mortierella verticillata",0.127869193371808,0.0904062679102558,0.165543697282245,4.1752902357618e-11
"Rhizophagus irregularis",-0.355036848077259,-0.410074919181469,-0.301079198044362,1.57034265688306e-35
"Rhizophagus clarus",-0.784834290742986,-0.842847455894555,-0.727133104045552,1.03653663527571e-133
"Bifiguratus adelaidae",-0.19207755691085,-0.282425998870769,-0.101808021440018,3.14518094296893e-05
"Syncephalastrum racemosum",-0.374273657084268,-0.440431364514472,-0.307988153255506,4.48299582566599e-28
"Lichtheimia corymbifera",-0.0319657301942671,-0.0657359427268518,0.00185511578109504,0.0638447015298141
"Lichtheimia ramosa",-0.219656378746522,-0.287380587972718,-0.152270883963675,1.86249578521563e-10
"Phycomyces blakesleeanus",-0.141087010656355,-0.19386383580964,-0.0880615092373449,2.16020909758198e-07
"Hesseltinella vesiculosa",-0.205547997350809,-0.27972858901777,-0.131987564025445,4.20627478906981e-08
"Absidia glauca",-0.370450763729436,-0.431380556415891,-0.309100072485354,1.23367121992658e-30
"Absidia repens",-0.280190635026013,-0.335776661784959,-0.224489965327674,2.95560387677824e-22
"Choanephora cucurbitarum",-0.631633183516061,-0.694751264200292,-0.569103180983964,1.95894135475272e-79
"Mucor ambiguus",-0.278069254971684,-0.349021588125156,-0.20640478655612,7.71434191970885e-14
"Mucor circinelloides",-0.669992383666105,-0.724056490373317,-0.616472391600664,6.47040231996625e-113
"Rhizopus microsporus",-1.73949662853549,-2.1447711907726,-1.21925834029254,7.23285514812396e-74
"Rhizopus delemar",-0.687542109500423,-0.758157936348545,-0.615946089202639,1.06592045205531e-66
"Trachipleistophora hominis",-0.418369382473393,-0.505688636299671,-0.331572954014812,3.87879584328231e-21
"Vavraia culicis",-0.233404599363097,-0.353755639364569,-0.114290052975685,0.000139475528402608
"Anncaliia algerae",-0.00904302298492683,-0.0580647623093914,0.0403050987455535,0.721365221271575
"Amphiamblys sp. WSBS2006",-0.102632192935337,-0.244308735565383,0.0362486207110455,0.148811251841353
"Ordospora colligata",-1.69569668491161,-1.88368343212827,-1.50101955600646,4.94110808617075e-72
"Pseudoloma neurophilia",-0.974565007808539,-1.06595254101103,-0.883519331059001,1.05191557848931e-92
"Nematocida parisii",-0.0291771661937624,-0.0370694008519994,-0.0213665218999846,3.83287341719189e-13
"Nematocida displodere",-0.464027959337652,-0.649500547487065,-0.302218419485839,1.85348290596967e-12
"Nematocida sp. 1",-0.106198294900468,-0.244506912218903,0.0337864630795097,0.139205628117441
"Nematocida sp. ERTm5",-0.444299913889203,-0.578613024729339,-0.310708080820992,1.34056040334201e-10
"Edhazardia aedis",-0.815615475403025,-0.87530054858624,-0.756645362621894,8.10287659191447e-135
"Spraguea lophii",0.0962713661366242,0.0624226598424648,0.129893317280578,2.89200061843158e-08
"Encephalitozoon intestinalis",-0.0272209515833988,-0.0560719341118164,0.00125714819256995,0.060849339064982
"Encephalitozoon cuniculi",-0.138483237502245,-0.177133042025838,-0.108764116156883,9.80990252909593e-34
"Encephalitozoon hellem",-0.54566285657639,-1.00105948095896,-0.243069862748958,9.03508430946265e-22
"Encephalitozoon romaleae",-0.134570567257004,-0.331295431633541,0.0422846036236961,0.144314111669467
"Vittaforma corneae",-0.319783735879507,-0.505882473675232,-0.139205338594043,0.000370992493251482
"Nosema apis",-1.36841731207021,-1.47611169261725,-1.26485774052065,4.41936394177679e-137
"Nosema ceranae",-1.24197004947698,-1.3313042202493,-1.1534094121325,6.22816811317471e-134
"Nosema bombycis",-0.714670818104319,-0.800618016641515,-0.62734300488372,1.84170216069594e-53
"Enterospora canceri",-0.726015525860043,-0.859330705698373,-0.590352053297789,6.2640457182725e-25
"Hepatospora eriocheir",-0.694235474474612,-0.777485414312333,-0.612507951772131,6.5125234456617e-60
"Enterocytozoon hepatopenaei",-1.34044184623465,-1.46204911766483,-1.22022801255081,1.10752539499782e-96
"Enterocytozoon bieneusi",-0.663805435717684,-0.733904193579299,-0.594502764270201,3.69365017009574e-75
"Wallemia mellicola",-0.64827166388797,-0.745481746385104,-0.550717585275071,1.70240424638608e-37
"Wallemia ichthyophaga",-0.440080937843484,-0.54671202982113,-0.332571284772934,2.78129180716573e-15
"Mixia osmundae",0.0758587532275984,-0.00799479882260213,0.159310258058481,0.0765476065807437
"Microbotryum intermedium",-0.128658248817557,-0.220055261173104,-0.0382007206495189,0.00517406796003645
"Leucosporidium creatinivorum",0.163924725830951,0.0538562214945903,0.272213322200536,0.00356411429748624
"Rhodotorula taiwanensis",0.0149790682159914,-0.0720337253404556,0.101951649647161,0.734081368791346
"Rhodotorula graminis",0.0889810180292712,-0.00327584293711344,0.180526765999226,0.0588141045615719
"Rhodotorula toruloides",0.040416475549319,-0.0408722089234765,0.121208804710317,0.329124057692968
"Rhodotorula sp. JG-1b",-0.545143796595497,-0.63952507508833,-0.450722165439631,1.40108097698531e-29
"Puccinia coronata",-0.206022143024378,-0.262677562808162,-0.148877867921042,2.31672820609669e-12
"Puccinia striiformis",0.444833481550738,0.398882563931546,0.490929883072981,4.00182293190223e-71
"Puccinia graminis",-0.0907640134070592,-0.159401684668738,-0.0234422019032153,0.00864862426211047
"Puccinia sorghi",-0.651205715443357,-0.711872782175787,-0.590123811188548,8.99778264757836e-82
"Malassezia globosa",0.893861339456695,0.762141312972695,1.02600162206208,3.21816689126317e-38
"Malassezia restricta",-0.675473915965598,-0.824584050612144,-0.529156655633655,7.22078254124001e-20
"Malassezia sympodialis",-1.18632591518932,-1.34184551909564,-1.03564096757495,2.11553001132616e-62
"Malassezia vespertilionis",0.246761810794946,0.145909300240521,0.347249577662219,1.58074238358061e-06
"Tilletiaria anomala",-0.411941919650696,-0.490328451602902,-0.332689990079152,6.69367924580358e-24
"Ceraceosorus bombacis",-0.792293135310666,-0.872201149412913,-0.712695920975965,2.36146537335577e-76
"Tilletia controversa",2.07261407451883,1.93833400813939,2.2074361255539,5.91050655271887e-187
"Tilletia walkeri",-0.432085374228375,-0.571001827142471,-0.293613819793758,8.63193053377566e-10
"Tilletia indica",-0.387836335741188,-0.475442340201566,-0.300633323946367,2.40151523986801e-18
"Tilletia caries",-1.52031503571717,-1.80152277015151,-1.24379677664083,8.89301054303552e-39
"Violaceomyces palustris",-0.828851297800173,-0.913277326859134,-0.744558348768015,1.31696416016448e-74
"Testicularia cyperi",-0.345610710337377,-0.423616319323792,-0.269964550631079,6.48450452933237e-19
"Pseudozyma hubeiensis",-0.1170713621123,-0.210716436613018,-0.0250168776421219,0.012808165945014
"Kalmanozyma brasiliensis",-0.268665370248319,-0.344024230876196,-0.194012752696702,1.86794360623855e-12
"Moesziomyces aphidis",-0.116441097235069,-0.324058578204599,0.0677284365809858,0.228023191090263
"Moesziomyces antarcticus",-0.161892425908518,-0.267071107545058,-0.0595559700187053,0.00191700720285729
"Ustilago hordei",-0.274844906857965,-0.411932277022894,-0.138758996600805,6.76740703586304e-05
"Ustilago bromivora",-0.165634293572885,-0.323918063383105,-0.011263908117169,0.0352107642894915
"Ustilago maydis",0.374408134464208,0.279284145728363,0.470180921521177,9.2412717448655e-15
"Anthracocystis flocculosa",-0.312257489970077,-0.403586509913145,-0.221752946523471,1.07787810883107e-11
"Sporisorium graminicola",0.995488065655468,0.881852868199372,1.11237170238964,1.4608902127258e-65
"Sporisorium reilianum",-0.200190017064423,-0.289714087482943,-0.111246292206285,1.03549474948963e-05
"Dacryopinax primogenitus",-0.209856649763007,-0.289182661297878,-0.130519736968516,2.79165278636811e-07
"Calocera viscosa",-0.315889455051755,-0.383687846083848,-0.249097515141662,7.40772155556333e-20
"Calocera cornea",-0.206869581488383,-0.27729821439372,-0.135568418809753,1.06972279115182e-08
"Xanthophyllomyces dendrorhous",-0.654727426484211,-0.73634298837128,-0.573313463299105,2.74144243531935e-52
"Trichosporon asahii",0.332078147473018,0.265294629468758,0.400254811270477,8.77846962499162e-21
"Naematelia encephala",-0.466800527358193,-0.555538640364944,-0.379582999987577,1.17790630566315e-25
"Tremella mesenterica",-0.550146630583488,-0.621337202414371,-0.478829124774633,1.20152158375466e-48
"Kwoniella heveanensis",-0.213875689782637,-0.302052218041479,-0.125119707122617,3.21090187952234e-06
