"","Median","low-CI","high-CI","p-value"
"Catenaria anguillulae",-0.143046952683843,-0.235153672332007,-0.0501574562304101,0.00242962131573844
"Allomyces macrogynus",-0.361428865661463,-0.421022208450973,-0.301770353737463,1.84742351682578e-31
"Paramicrosporidium saccamoebae",0.107326821984502,-0.0153814488284433,0.238233155874443,0.0872047230833276
"Rozella allomycis",-0.0961161777729689,-0.174619670634791,-0.0180870576805422,0.0158825892249649
"Basidiobolus meristosporus",-0.226247769951639,-0.271304860817801,-0.181279952377734,4.53487700670184e-22
"Conidiobolus coronatus",-0.0518981482733129,-0.107608260835836,0.00280609519399953,0.0633938409113426
"Gonapodya prolifera",0.0682966379706139,0.00206513887820823,0.134389198938075,0.043089807148025
"Spizellomyces punctatus",0.0698883262839877,0.00219577670980888,0.13881073488443,0.0430186107379878
"Batrachochytrium salamandrivorans",-0.558827199046397,-0.627851293034983,-0.4901579611523,1.14013741578362e-54
"Batrachochytrium dendrobatidis",0.395876226642538,0.193671586899843,0.615141576421634,8.4657476927947e-05
"Rhizoclosmatium globosum",-0.484329587928296,-0.540874133445771,-0.428298903739701,1.68816855496497e-63
"Anaeromyces robustus",-0.228937473083241,-0.276431573093854,-0.181661736173261,1.58923939952843e-20
"Piromyces sp. E2",-0.0177827566085873,-0.0686997996852398,0.0325814603076694,0.491170697787286
"Piromyces finnis",0.068521514366737,0.0157601058707333,0.120832904976069,0.0111645915315297
"Neocallimastix californiae",-0.182297111868023,-0.238062477795973,-0.127324623681164,8.48466862699664e-11
"Mortierella elongata",-0.208121767831966,-0.261936949891214,-0.154723670971967,3.80818182909921e-14
"Mortierella verticillata",-0.0522207775755808,-0.117544049198756,0.0129659692163657,0.118615541874838
"Rhizophagus irregularis",-0.166501851748465,-0.216731941412318,-0.116399287078915,1.34320095328936e-10
"Rhizophagus clarus",-0.385112966370212,-0.430047999535676,-0.340181012616298,8.35288319711424e-60
"Bifiguratus adelaidae",-0.32964926003264,-0.41798409301905,-0.239932580382294,1.92888004240513e-12
"Syncephalastrum racemosum",0.27119976652802,0.202405351136417,0.338621016024518,7.35866857343626e-14
"Lichtheimia corymbifera",0.203817166258033,0.1401151758855,0.267916107509391,3.82983148112695e-10
"Lichtheimia ramosa",0.261537692601803,0.193620093545674,0.327734306843701,9.31108328626519e-14
"Phycomyces blakesleeanus",-0.169786498927419,-0.216423189255604,-0.123465663242333,1.13893171835697e-12
"Hesseltinella vesiculosa",0.194776963761585,0.114315943811744,0.275533037542578,2.65319080382242e-06
"Absidia glauca",0.0561882393785043,-0.00586956428655001,0.118107523165891,0.0758537079628544
"Absidia repens",0.206264951233889,0.150981156592399,0.261739587543131,2.59659662478067e-13
