"","Median","low-CI","high-CI","p-value"
"Catenaria anguillulae",-0.0820124149389926,-0.142872777580666,-0.0211284546795896,0.00827073980961649
"Allomyces macrogynus",-0.148305549916439,-0.202510598580436,-0.0943274980951853,6.84494059392784e-08
"Paramicrosporidium saccamoebae",-0.551299209600492,-0.650808964460647,-0.452349594342666,1.0767239331355e-27
"Rozella allomycis",-0.848021033633792,-0.912810138806257,-0.783225685648276,4.90107430013204e-134
"Basidiobolus meristosporus",-0.268182284063964,-0.313730941677725,-0.222449425902429,3.61806160690821e-30
"Conidiobolus coronatus",-0.444165933222017,-0.50231899690104,-0.385757112760906,2.82915433591234e-49
"Gonapodya prolifera",-0.591994364455847,-0.648244638145832,-0.535679286374773,9.51950779676516e-90
"Spizellomyces punctatus",-0.765028593919915,-0.828698472755721,-0.701132323539086,5.63721956185175e-116
"Batrachochytrium salamandrivorans",-0.548681945136051,-0.599624762758497,-0.497679251363371,7.49970709419698e-94
"Batrachochytrium dendrobatidis",-0.558813282881725,-0.689779010084065,-0.433911363942666,1.21190081582577e-17
"Rhizoclosmatium globosum",-0.301834777934143,-0.348669790592825,-0.255008171626309,4.47215070747115e-36
"Anaeromyces robustus",-0.453801440378467,-0.497291577664217,-0.410262982026961,2.13590528717683e-89
"Piromyces sp. E2",-0.68774633795254,-0.739186936101001,-0.6364363919299,2.02318863208875e-141
"Piromyces finnis",0.00965672630859567,-0.0357568532135097,0.0552377196327382,0.673691020241034
"Neocallimastix californiae",-0.410375461140054,-0.456834421602368,-0.364248573471048,8.74829878893856e-66
"Mortierella elongata",-0.13047390768927,-0.176376968815372,-0.0845780186616473,2.59486229077013e-08
"Mortierella verticillata",0.0960237301507293,0.073677543237842,0.118424904719459,3.69777432395806e-17
"Rhizophagus irregularis",-0.421962184126244,-0.467156843949362,-0.376848993013346,2.36541317185322e-71
"Rhizophagus clarus",-0.765259614356492,-0.810098915733125,-0.720879173184035,1.20914523936544e-220
"Bifiguratus adelaidae",-0.247448320967289,-0.313822849185401,-0.18083309478035,3.87279565966737e-13
"Syncephalastrum racemosum",-0.397674085594949,-0.446023942096235,-0.349198343813939,3.14411752621168e-56
"Lichtheimia corymbifera",-0.0346579111369976,-0.0532200933911558,-0.0160749538908579,0.000271668631758741
"Lichtheimia ramosa",-0.34738171521793,-0.398971172160362,-0.295882334525167,3.04420905613706e-39
"Phycomyces blakesleeanus",-0.332017742821282,-0.376624302816874,-0.287665952766787,1.73263130207187e-47
"Hesseltinella vesiculosa",-0.277427720735196,-0.332642754203722,-0.222548579377419,5.34708947299992e-23
"Absidia glauca",-0.378685309425066,-0.429701229737424,-0.327429035501938,3.84645788234344e-46
"Absidia repens",-0.469331696954086,-0.515275924479615,-0.423234403670143,3.58482125351113e-85
"Choanephora cucurbitarum",-0.685417715617635,-0.731513889945826,-0.639420933818775,1.50077219587357e-173
"Mucor ambiguus",-0.258473556828314,-0.310327372692787,-0.206614891960407,3.66906283455416e-22
"Mucor circinelloides",-0.610671153977543,-0.654799877802317,-0.566438162025117,3.30098274608717e-147
"Rhizopus microsporus",-3.60340046905058,-3.91482187888278,-3.27501732909176,1.92263091964995e-143
"Rhizopus delemar",-0.74498626755167,-0.798102143283495,-0.692042488573052,1.82537991431845e-151
"Trachipleistophora hominis",-0.730433106111965,-0.793745291657566,-0.667446532420978,2.99227227592251e-113
"Vavraia culicis",-0.368049171018076,-0.464749386908237,-0.271938524446017,6.30076724451754e-14
"Anncaliia algerae",0.0119585899238518,-0.0189413139640076,0.042916119535474,0.448513702881413
"Amphiamblys sp. WSBS2006",-0.613840454141726,-0.725340071559759,-0.503098086998563,1.40296717295774e-27
"Ordospora colligata",-1.97203541973282,-2.10629094742372,-1.83619863097552,1.79728775317944e-183
"Pseudoloma neurophilia",-1.37276593028122,-1.44165178466356,-1.30411745289985,2.90275070751087e-290
"Nematocida parisii",-3.6334087609007,-3.94473247105445,-3.32194463319308,3.02317887057961e-20
"Nematocida displodere",-0.420336163491451,-0.597674130729275,-0.267683147114456,4.70785008208273e-08
"Nematocida sp. 1",-0.70145055407292,-0.809795277330619,-0.593507904086454,9.00618265672961e-36
"Nematocida sp. ERTm5",-0.576480267690217,-0.687221725833165,-0.464668317604413,1.02395412661267e-23
