"","observed value","low CI","high CI"
"Aspergillus rambellii",1.76133918659,1.74603653797399,1.77666695203534
"Tilletia controversa",0.674276728279651,0.656280811041577,0.692320087088003
"Thielaviopsis punctulata",0.20217197764725,0.196531028093275,0.207823844085131
"Aspergillus kawachii",-0.641382609748326,-0.665180536736075,-0.617839097100953
"Rhizophagus irregularis",-0.576445793519704,-0.587131315752516,-0.565733472040146
"Torulaspora globosa",-0.531894672681692,-0.541207802646884,-0.522584669349071
"Eremothecium sinecaudum",-0.514790837861957,-0.526140860727827,-0.503454342796526
"Coccidioides immitis",-0.490795436119258,-0.503400490689504,-0.478219687684156
"Brettanomyces bruxellensis",-0.429326033460013,-0.438862179471526,-0.419763060603029
"Torulaspora delbrueckii",-0.408516680083104,-0.41779795412914,-0.399240293582881
"Trichoderma atroviride",-0.352041444055245,-0.358331198166925,-0.345731118289183
"Hyphopichia burtonii",-0.341419885089075,-0.349150444863383,-0.33367329613061
"Debaryomyces hansenii",-0.32009012093124,-0.329200677654026,-0.310977546038168
"Rutstroemia sp. NJR-2017a WRK4",-0.313658847066878,-0.320955044822528,-0.306338532315591
"Komagataella pastoris",-0.269839055902205,-0.280807180990446,-0.258872225204107
"Emmonsia sp. CAC-2015a",-0.265596145001854,-0.271400548884219,-0.259803589131101
"Kwoniella pini",-0.257241660110048,-0.263576855001068,-0.250894054899236
"Colletotrichum fioriniae",-0.250875768507024,-0.256896208110164,-0.244856615697594
"Hanseniaspora opuntiae",-0.241572325542393,-0.251048443917837,-0.232145053339823
"Edhazardia aedis",-0.231695754102108,-0.236671321215711,-0.226719108011756
"Piromyces sp. E2",-0.231244593669313,-0.236638315790778,-0.225853156886333
"Batrachochytrium salamandrivorans",-0.220312439715613,-0.22652681478127,-0.214103315397448
"Leucoagaricus sp. SymC.cos",-0.203646694995461,-0.209609822465061,-0.197686071160806
"Tuber magnatum",-0.195901974875617,-0.201059629810185,-0.190779141502247
"Encephalitozoon hellem",-0.193364576257548,-0.198316167254767,-0.188589760269212
"Pseudocercospora fijiensis",-0.16991956138249,-0.17494988774938,-0.164891723670104
"Mucor circinelloides",-0.146753619260792,-0.151845646046285,-0.14166622879809
"Rutstroemia sp. NJR-2017a BVV2",-0.122406698115155,-0.128180266042168,-0.116636022502948
