"Organism","Search Weight","Organellar genome(s)","VEuPathDB Project","Chromosomes","Supercontigs","Contigs","Genome Source","Genome Version/Assembly ID","Mega base Pairs","Structural Annotation Source","Structural Annotation Version","Is Reference Strain","NCBI taxon ID","Species","Strain","ChIP chip","EC#","ESTs","Genes","GO terms","Microarray","Non Protein coding genes","Orthologs","Popset Sequences","Protein coding genes","Proteomics","Pseudogenes","RNA Seq","RT-PCR","SNPs","TFBS","User comments"
"Aspergillus luchuensis IFO 4308","10","no","FungiDB","0","146","1016","GenBank","GCA_000239835.2","   37.11","GenBank","Oct 2, 2015","no","1033177","Aspergillus luchuensis","IFO 4308","N/A","925","N/A","11755","8211","N/A","267","11488","47969","11488","N/A","0","N/A","N/A","N/A","N/A","1"
"Epichloe glyceriae E277","10","no","FungiDB","0","0","3076","INSDC","GCA_000225285.2","   46.72","N/A","N/A","yes","1035635","Epichloe glyceriae","E277","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus versicolor CBS 583.65","10","no","FungiDB","0","51","0","GenBank","GCA_001890125.1","   33.13","GenBank","Dec 07, 2016","yes","1036611","Aspergillus versicolor","CBS 583.65","N/A","1617","N/A","13364","9346","N/A","142","13222","50416","13222","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Aspergillus sydowii CBS 593.65","10","no","FungiDB","0","97","0","GenBank","GCA_001890705.1","   34.38","GenBank","Dec 08, 2016","yes","1036612","Aspergillus sydowii","CBS 593.65","N/A","1617","N/A","13717","9355","N/A","138","13579","48761","13579","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Phytophthora cinnamomi var. cinnamomi CBS 144.22","10","no","FungiDB","0","1314","0","JGI","1","   77.97","JGI","1","yes","1048749","Phytophthora cinnamomi","var. cinnamomi CBS 144.22","N/A","N/A","N/A","26201","8315","N/A","70","26131","73825","26131","N/A","10","N/A","N/A","N/A","N/A","N/A"
"Aspergillus wentii DTO 134E9","10","no","FungiDB","0","27","0","GenBank","GCA_001890725.1","   31.35","GenBank","Dec 08, 2016","yes","1073089","Aspergillus wentii","DTO 134E9","N/A","1495","N/A","12659","8535","N/A","224","12435","47139","12435","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Penicilliopsis zonata CBS 506.65","10","no","FungiDB","0","246","0","GenBank","GCA_001890105.1","   26.09","GenBank","Dec 08, 2016","yes","1073090","Penicilliopsis zonata","CBS 506.65","N/A","1274","N/A","10027","6960","N/A","158","9869","27","9869","N/A","3","N/A","N/A","N/A","N/A","N/A"
"Fusarium odoratissimum NRRL 54006","10","no","FungiDB","0","418","0","GenBank","GCA_000260195.2","   46.55","GenBank","Mar 23, 2015","no","1089451","Fusarium odoratissimum","NRRL 54006","N/A","1677","N/A","16975","10224","N/A","341","16634","119777","16634","N/A","7","N/A","N/A","N/A","N/A","N/A"
"Fusarium oxysporum f. sp. melonis 26406","10","no","FungiDB","0","1146","0","GenBank","GCA_000260495.2","   54.03","GenBank","Dec 24, 2017","no","1089452","Fusarium oxysporum","f. sp. melonis 26406","N/A","1823","2698","20033","11249","N/A","372","19661","120433","19661","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Phytophthora sojae strain P6497","10","no","FungiDB","0","82","0","GenBank","GCA_000149755.2","   82.60","GenBank","Mar 14, 2015","yes","1094619","Phytophthora sojae","strain P6497","N/A","1551","N/A","28142","9258","N/A","1653","26489","85337","26489","N/A","0","28142","N/A","N/A","N/A","13"
"Claviceps purpurea 20.1","10","no","FungiDB","0","191","0","INSDC","GCA_000347355.1","   32.09","GenBank","2013-04-15","yes","1111077","Claviceps purpurea","20.1","N/A","916","2637","8979","5729","N/A","156","8823","5828","8823","N/A","45","N/A","N/A","N/A","N/A","N/A"
"Pleurotus ostreatus PC15","10","no","FungiDB","0","12","0","INSDC","GCA_000697685.1","   34.34","GenBank","2014-06-05","yes","1137138","Pleurotus ostreatus","PC15","N/A","1007","4978","12460","7248","N/A","164","12296","11170","12296","N/A","3","N/A","N/A","N/A","N/A","N/A"
"Aspergillus luchuensis CBS 106.47","10","no","FungiDB","0","100","0","GenBank","GCA_001890685.1","   37.45","GenBank","Dec 12, 2016","yes","1137211","Aspergillus luchuensis","CBS 106.47","N/A","1505","N/A","13784","8661","N/A","282","13502","49263","13502","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Saprolegnia diclina VS20","10","no","FungiDB","0","390","0","GenBank","GCA_000281045.1","   62.89","GenBank","Mar 19, 2015","yes","1156394","Saprolegnia diclina","VS20","N/A","1364","N/A","17448","11145","N/A","89","17359","1328","17359","N/A","0","N/A","N/A","N/A","N/A","2"
"Aspergillus glaucus CBS 516.65","10","no","FungiDB","0","82","0","GenBank","GCA_001890805.1","   27.99","GenBank","Dec 12, 2016","yes","1160497","Aspergillus glaucus","CBS 516.65","N/A","1341","N/A","11429","7365","N/A","175","11254","44603","11254","N/A","0","N/A","N/A","N/A","N/A","1"
"Trichosporon asahii var. asahii CBS 2479","10","no","FungiDB","0","77","0","INSDC","GCA_000293215.1","   24.54","GenBank","Mar 19, 2015","yes","1186058","Trichosporon asahii","var. asahii CBS 2479","N/A","676","N/A","8834","4997","N/A","523","8311","181","8311","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Verticillium dahliae JR2","10","no","FungiDB","8","0","0","INSDC","GCA_000400815.2","   36.15","N/A","N/A","yes","1202531","Verticillium dahliae","JR2","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Pneumocystis jirovecii SE8","10","no","FungiDB","0","328","0","GenBank","GCA_000333975.2","    8.12","GenBank","Dec 13, 2012","yes","1209962","Pneumocystis jirovecii","SE8","N/A","544","N/A","3752","2712","N/A","217","3535","9267","3535","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Cyphellophora europaea CBS 101466","10","no","FungiDB","0","19","0","GenBank","GCA_000365145.2","   28.78","GenBank","Mar 21, 2015","yes","1220924","Cyphellophora europaea","CBS 101466","N/A","1361","N/A","11153","7701","N/A","59","11094","160","11094","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Mucor circinelloides 1006PhL","10","no","FungiDB","0","470","0","GenBank","GCA_000401635.1","   36.35","GenBank","Mar 22, 2015","yes","1220926","Mucor circinelloides","1006PhL","N/A","1423","2090","12410","8319","N/A","183","12227","882","12227","N/A","2","N/A","N/A","N/A","N/A","N/A"
"Pythium aphanidermatum DAOM BR444","10","no","FungiDB","0","1774","0","GenBank","GCA_000387445.2","   35.88","Ensembl","Mar 02, 2016","yes","1223555","Pythium aphanidermatum","DAOM BR444","N/A","749","N/A","12363","6409","N/A","58","12305","5220","12305","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Pythium arrhenomanes ATCC 12531","10","no","FungiDB","0","10972","0","GenBank","GCA_000387505.2","   44.67","Ensembl","Mar 02, 2016","yes","1223556","Pythium arrhenomanes","ATCC 12531","N/A","759","N/A","13857","6943","N/A","52","13805","566","13805","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Globisporangium irregulare DAOM BR486","10","no","FungiDB","0","5887","0","GenBank","GCA_000387425.2","   42.97","Ensembl","Mar 02, 2016","yes","1223557","Globisporangium irregulare","DAOM BR486","N/A","774","N/A","13869","6997","N/A","65","13804","529","13804","N/A","0","N/A","N/A","N/A","N/A","N/A"
"Globisporangium iwayamae DAOM BR242034","10","no","FungiDB","0","11542","0","GenBank","GCA_000387465.2","   43.20","MSU","2014-08-11","yes","1223558","Globisporangium iwayamae","DAOM BR242034","N/A","754","N/A","14874","6977","N/A","0","14874","538","14874","N/A","0","N/A","N/A","N/A","N/A","1"
"Globisporangium ultimum var. sporangiiferum BR650","10","no","FungiDB","0","5482","0","GenBank","GCA_000387525.2","   37.63","MSU","2014-08-11","no","1223559","Globisporangium ultimum","var. sporangiiferum BR650","N/A","714","N/A","14086","6293","N/A","0","14086","503","14086","N/A","0","N/A","N/A","N/A","N/A","N/A"
